Artist,Genre,Lyrics,Song,Song_Name,isEnglish
Rae Sremmurd Featuring Gucci Mane,Rap,Black Beatles in the city Be back immediately to confiscate the moneys Ear Drummers Rae Sremm Guwop Mike WiLL! I sent flowers but you said you didnt receive em But you said you didnt need em Mike WiLL! That girl is a real crowd pleaser Small world all her friends know of me Young bull livin like an old geezer Quick release the cash watch it fall slowly They lose it when the DJ drops the needle Getting so gone Im not blinkin New day new money to be made There is nothin to explain Im a fuckin black Beatle cream seats in the Regal Rockin John Lennon lenses like to see Û÷em spread eagle Like clockwork I blow it all And get some more Get you somebody that can do both Black Beatles got the babes belly rollin She think she love me I think she trollin That girl is a real crowd pleaser Young bull livin like an old geezer Quick release the cash watch it fall slowly They lose it when the DJ drops the needle Came in with two girls look like strippers in their real clothes A yellow bitch with green hair a real weirdo Black man yellow Lamb red light go They seen that Guwop and them just came in through the side door Theres so much money on the floor we buyin school clothes Pint of lean pound of weed and a kilo I Eurostep past a hater like Im Rondo Like Chapo servin yayo to the gringos That girl is a real crowd pleaser Young bull livin like an old geezer Quick release the cash watch it fall slowly They lose it when the DJ drops the needle Shes a good teaser and we blowin reefer D&G on me I got a lot of flavor I wear leather Gucci jackets like its still the 80s Black Beatle bitch me and Paul McCartney related That girl is a real crowd pleaser Young bull livin like an old geezer Quick release the cash watch it fall slowly They lose it when the DJ drops the needle,Black Beatles,,
Zay Hilfigerrr & Zayion McCall,Rap,Do that one dance baby That that one dance Yeah oh You dont know how to do that Baby do it for your grandma Come on Im old and Im trying to learn it Well yeah do it Walked in this party And these girls lookin at me Skinny jeans on and you know my hair nappy Hey hey hey Okay okay I want yall do it do this dance now JuJu on the beat JuJu on that beat JuJu on that JuJu on that JuJu on that beat Now slide drop Hit dem folks dont stop aye Dont stop aye Dont stop aye Running man on that beat aye Running man on that beat aye Running man on that beat aye Running man on that beat You ugly You your daddys son Okay we knuckin and buckin And ready to fight I got my cousin he with me And got Lil Zay on the right And Im a Detroit baby Besides drinking and having parties And having some fun I see a 300-S If you compare me and you There wouldnt be no comparings JuJu on the beat JuJu on that beat JuJu on that JuJu on that JuJu on that beat Hit dem folks dont stop aye Dont stop aye Dont stop aye Running man on that beat aye Running man on that beat aye Running man on that beat aye Running man on that beat You ugly You your daddys son,Juju On That Beat (TZ Anthem),,
Drake,Rap,Ive been down so long it look like up to me They look up to me I got fake people showin fake love to me Straight up to my face straight up to my face Ive been down so long it look like up to me They look up to me I got fake people showin fake love to me Straight up to my face straight up to my face Just when shit look out of reach I reach back like one three Like one three yeah Thats when they smile in my face Whole time they wanna take my place Whole time they wanna take my place Whole time they wanna take my place Yeah I know they wanna take my place I can tell that love is fake I dont trust a word you say How you wanna clique up after your mistakes Look you in the face and its just not the same Ive been down so long it look like up to me They look up to me I got fake people showin fake love to me Straight up to my face straight up to my face Ive been down so long it look like up to me They look up to me I got fake people showin fake love to me Straight up to my face straight up to my face Thats when they smile in my face Whole time they wanna take my place Whole time they wanna take my place Whole time they wanna take my place Yeah I know they wanna take my place I can tell that love is fake I can tell that love is fake I dont trust a word you say I dont trust a word How you wanna clique up after your mistakes Thats just what I heard Look you in the face and its just not the same Ive been down so long it look like up to me They look up to me I got fake people showin fake love to me Straight up to my face straight up to my face Ive been down so long it look like up to me They look up to me I got fake people showin fake love to me Straight up to my face straight up to my face And more chune for your headtop So watch how you speak on my name you know,Fake Love,,
Amine,Rap,Listen man Whats up I heard you done got you a dime piece man Hell naw man One of them BeyoncÌ© Meagan Good types man Nah nah nah Is that true man I just wanna know Probably not I mean shit to be honest with you man shes a... Bad thang fine as hell thick as fuck Caroline you divine Mighty fine Shawty really blow the pipe thats true Like a pro Aha fuck you thought Holy shit Im really lit Its looking like its bout time to fuck it up Caroline listen up dont wanna hear About ya horoscope or what the future holds Shut up and shut up and Lets get gory like a Tarantino movie Dont wanna talk it out can we fuck it out Cause we gon be up all night fuck a decaf You say Im a tall thug guess Im a G-raffe If ya want safe-sex baby use the knee pads Freaky with the sticky icky Baby give me kitty kitty Killa westside nigga Boy you like 98 degrees And Im 300 nigga keep ya feet runnin I chief keef keef when I eat these beats Better boy get scurred  Cause great scenes might be great But I love your bloopers And perfects for the urgent Baby I want forever Bad thang fine as hell thick as fuck Caroline you divine Mighty fine Shawty really blow the pipe thats true Like a pro Aha... what Caroline listen up dont wanna hear About ya horoscope or what the future holds Lets get gory like a Tarantino movie Dont wanna talk it out can we fuck it out Cause we gon be up all night fuck a decaf You say Im a tall thug guess Im a G-raffe If ya want safe-sex baby use the knee pads Freaky with the sticky icky Baby give me kitty kitty Killa westside nigga Boy you like 98 degrees And Im 300 nigga keep ya feet runnin I chief keef keef when I eat these beats Bet a boy get scurred  Cause great scenes might be great But I love your bloopers And perfects for the urgent Baby I want forever,Caroline,,
Migos Featuring Lil Uzi Vert,Rap,You know young rich niggas You know so we aint really never had no old money We got a whole lotta new money though hah If Young Metro dont trust you Im gon shoot ya Raindrop drip drop top drop top Smokin on cookie in the hotbox cookie Fuckin on your bitch she a thot thot thot Cookin up dope in the crockpot pot We came from nothin to somethin nigga hey Cry me a river give you a tissue hey My bitch is bad and boujee bad Cookin up dope with a Uzi blaow My niggas is savage ruthless savage We got 30s and 100 rounds too grrah My bitch is bad and boujee bad Cookin up dope with a Uzi dope My niggas is savage ruthless hey We got 30s and 100 rounds too glah Offset whoo whoo whoo whoo whoo! Rackaids on rackaids got back-ends on back-ends Im ridin around in a coupe coupe I take your bih right from you you Bitch Im a dog roof grr Beat the ho walls loose hey Hop in the frog whoo skrt Yeah pull up in Ghosts whoo Yeah my diamonds a choker glah Holdin the fire with no holster blaow Rick the Ruler diamonds cooler cooler This a Rollie not a Muller hey Dabbin on em like the usual dab Magic with the brick do voodoo magic Im young and rich and plus Im bougie hey Im not stupid so I keep the Uzi rrah Rackaids on rackaids got back-ends on back-ends So my money makin my back ache aagh You niggas got a low Act rate Act We from the Nawf yeah dat way nawf Fat Cookie blunt in the ashtray cookie Hop in the Lamb have a drag race skrt I let them birds take a bath bae brr Raindrop drip drop top drop top Smokin on cookie in the hotbox cookie Fuckin on your bitch she a thot thot thot Cookin up dope in the crockpot pot We came from nothin to somethin nigga hey Cry me a river give you a tissue hey My bitch is bad and boujee bad Cookin up dope with a Uzi blaow My niggas is savage ruthless savage We got 30s and 100 rounds too grrah My bitch is bad and boujee bad Cookin up dope with a Uzi dope My niggas is savage ruthless hey We got 30s and 100 rounds too glah Pour a four Im droppin muddy Outer space Kid Cudi drank Dont move too fast I might shoot ya huh Draco bad and boujee draco Im always hangin with shooters brrah Still be playin with pots and pans call me Quavo Ratatouille Run with that sack call me Boobie run with it When Im on stage show me boobies ayy Ice on my neck Im the coolest ice Hop out the suicide with the Uzi pew-pew-pew I pull up I pull up I pull up I hop out with all of the drugs and the good luck skrrt Im cookin Im cookin Im whippin Im whippin into a rock up let it lock up lock up I gave her 10 racks I told her go shoppin and spend it all at the pop up ten These bitches they fuck and suck dick And they bustin for Instagram get your clout up Uh yeah dat way float on the track like a Segway go Yeah dat way I used to trap by the Subway trappin Yeah dat way young nigga trap with the AK rrrah Yeah dat way big dyke ho get the door Macy Gray hey Raindrop drip drop top drop top Smokin on cookie in the hotbox cookie Fuckin on your bitch she a thot thot thot Cookin up dope in the crockpot pot We came from nothin to somethin nigga hey Cry me a river give you a tissue hey My bitch is bad and boujee bad Cookin up dope with a Uzi blaow My niggas is savage ruthless savage We got 30s and 100 rounds too grrah My bitch is bad and boujee bad Cookin up dope with a Uzi dope My niggas is savage ruthless hey We got 30s and 100 rounds too glah Yeah yeah yeah yeah yeah Ayy wait these niggas watchin I swear to God they be my clones Yeah hey huh Switchin my hoes like my flows what Switchin my flows like my clothes like what Cause the money come all out the roof Drive the Rari that bitch got no roof skrt Wait what kind of Rari 458 damn Look go to strip club make it rain Go to sleep in a jacuzzi yeah Wakin up right to a two-piece yeah Gettin that chicken with blue cheese yeah Boy you so fake like my collar you snakin I swear to God that be that Gucci ayy Saw your girl once now she choosin yeah Raindrop drip drop top drop top Smokin on cookie in the hotbox cookie Fuckin on your bitch she a thot thot thot Cookin up dope in the crockpot pot We came from nothin to somethin nigga hey Cry me a river give you a tissue hey My bitch is bad and boujee bad Cookin up dope with a Uzi blaow My niggas is savage ruthless savage We got 30s and 100 rounds too grrah My bitch is bad and boujee bad Cookin up dope with a Uzi dope My niggas is savage ruthless hey We got 30s and 100 rounds too glah,Bad And Boujee,,
Young M.A,Rap,Yo bro I think I had too much Hennessy man This Hennessy gettin to me I aint gonna lie Im a little smizz Im a little drizz But we in the club man OOOUUU Yeah Im pretty but Im loco The loud got me movin slow-mo Ayo Tweetie where the hoes bro Ayo Keys where the hoes though That other nigga he a bozo Disrespect the Lyfe thats a no-no All my niggas dressed in that rojo Redlyfe I ride for my guys thats the bro code Damn she make me weak when she deep throat My brother told me Fuck \em get that money sis! You just keep on grindin\ on your hungry shit Ignore the hate ignore the fake ignore the funny shit Û÷Cause if a nigga violate we got a hunnit clips grrrrrrrah! And we go zero to a hundred quick ooouuu We just them niggas you aint fuckin with oh no Pockets on a chubby chick ah And still go bag a thottie in some bummy shit ooouuu Like I dont always keep the hammer next to me Like I aint got a hitter to the left of me Like we aint in these streets more than Sesame If thats your chick then why she textin me Why she keep calling my phone speaking sexually Every time Im out why she stressin me You call her Stephanie I call her Headphanie OOOUUU I dont open doors for a whore I just want the neck nothin more Shawty make it clap make it applaud! Dyke bitches talking out they jaw Next minute calling for the law This 9 will have em calling for the Lord They aint getting shmoney so they bored They say I got the juice I got the sauce Im killing em sorry for your loss R.I.P. I just caught a body; Randy Moss Now this year Im really going off OOOUUU OOOUUU OOOUUU OOOUUU OOOUUU OOOUUU This Henny got me it got me sauced This Henny got me oh it got me sauced OOOUUU OOOUUU,OOOUUU,,
Big Sean,Rap, Future If Young Metro dont trust you Im gon shoot you Last night took a L but tonight I bounce back Wake up every morning by the night I count stacks Knew that ass was real when I hit it bounce back Last night took a L but tonight I bounce back Boy I been broke as hell cashed a check and bounced back D town LAX every week I bounce back  Big Sean DonÛªt owe nobody owe nobody Always on the fuckin job I got no hobbies Got the city fuckin with me cause Im homegrown Vibin out more than my phone though Leave me Û÷lone me on my own though Look I cut that bitch off like a edit My daddy a G its genetics Straight up I heard ya new shit its pathetic Ya contract should be shredded Took my dogs on a private jet from the public housing I kept it G yeah one thousand Clique star-studded like the Paramount mountain Everything I do is righteous Betting on me is the right risk Even in a fucking crisis IÛªm never on some switching sides shit I switch gears to the night shift Blacking out cause IÛªm enlightened God talk to me in silence But I hear him every time mane Thank you God God bless you thank you so much Last night took a L but tonight I bounce back Wake up every morning by the night I count stacks Knew that ass was real when I hit it bounce back Last night took a L but tonight I bounce back Boy I been broke as hell cashed a check and bounced back D town LAX every week I bounce back Look I woke up in beast mode With my girl thats beauty and the beast though Been top 5 these niggas sleep though Only thing that sold out is the seats though Never sold my soul never will never have Nigga how dare you stand before me and not respect my authority If you fuck with my glory Ima drop the L and get gory I done did everything except worry Hella drama my life story Faith of a mustard seed I kept growing I knew that this life was meant for me Niggas change up more than wishin wells Karma come around Ill wish em well Livin like IÛªm on a limitless pill I kill the scene like IÛªm Denzel Crazy like my jacket strapped up Nigga I donÛªt act but Ill act up Brown paper bag like the lunch packed up Back back back back up Nigga Ima need like 10 feet Or get stomped out with ten feet Ima always lose my temper You cannot ÛÏcount to tenÛ me If I lose 1 I bounce back like 2 3 did with 4 5 Seen court rooms and court sides ainÛªt too many seen both sides Nigga fuck what you know Nigga IÛªm takin back control The underdog just turned into the wolf and the hunger steady grows Yeah I call shots while you call off Never takin summer or fall off When you stay that committed to it you just fall down and never fall off so Last night took a L but tonight I bounce back Wake up every morning by the night I count stacks Knew that ass was real when I hit it bounce back Last night took a L but tonight I bounce back D town LAX every week I bounce back Don,Bounce Back,,
J. Cole,Rap,Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Some people talk about that love at first sight shit To keep it real I dont know whether I believe its true But if it is then tell me if Im wrong or right If I fell in love with you before I ever even knew I catch your eye then look away as if it never happened At times I feel as though Im caught up in a strange dream She fuck with small town niggas I got bigger dreams She fuck with small town niggas I got bigger dreams listen She fuck with small town niggas I got bigger dreams She fuck with small town niggas I got bigger dreams listen Club jumping dont stop off top But you know we only go till 2 oclock Last call at the bar ladies get a drink nigga get some balls Aint no telling you gonna see that bitch tomorrow Cause you a starÛÓno not the type that snort the white lines I mean the type to light the night time I heard you got a man No question I know destiny well And though I sin the Lord blessing me still Every saint got a past every sinner got a future Every loser gotta win and every winner gotta lose someday They say its just a matter of time And if I had my way then you would be mine She fuck with small town niggas I got bigger dreams She fuck with small town niggas I got bigger dreams listen She fuck with small town niggas I got bigger dreams She fuck with small town niggas I got bigger dreams Club jumping dont stop off top But you know we only go till 2 oclock Last call at the bar ladies get a drink nigga get some balls Aint no telling you gonna see that bitch tomorrow I know you were made for me but Darling dont you wait for me Cause I can see the promised land But I cant do no promising I know you were made for me but Darling dont you wait for me Cause I can see the promised land But I cant do no promising,Deja Vu,,
Gucci Mane Featuring Drake,Rap,If Young Metro dont trust you Im gon shoot you I shouldve left with Juvey I cant trust her nor her booty Im allergic to the brrrr Im using wings to wipe my ass sunken place And when Im in LA Im smoking Kobe Bryant eighths I dont usually do this unless Im drunk or Im high But Im both right now got me talking about my life I dont usually do this unless Im drunk or Im high But Im both right now I dont usually do this unless Im drunk or Im high But Im both right now and I need ya in my life I dont usually do this unless Im drunk or Im high But Im both right now I got so many felonies I might cant never go to Canada But Drake said he gon pull some strings so let me check my calendar Im in an all-red drop tarantula fuck a Challenger This Patek Philipe gon make this crooked judge try throw the book at me I look like half a million worth of heroin when she look at me But you aint gotta fuck with me my nig but youre stuck with me But how you called the cops on me my nig You grew up with me I dont usually do this unless Im drunk or Im high But Im both right now got me talking about my life I dont usually do this unless Im drunk or Im high But Im both right now I dont usually do this unless Im drunk or Im high But Im both right now and I need ya in my life I dont usually do this unless Im drunk or Im high But Im both right now Yeah Im both Yeah I had a drink yeah I smoked Open water my location is remote Shout-out Yachty but this aint a Lil Boat This some shit I wrote about when I was broke See the power of the mind is not a joke Man I said that I would do it and I did Used to get left-overs out the fridge Nobody was famous where I lived Till I got it jumping at the crib Took a lot to be able to give I mean I dont usually do this unless Im drunk or Im high But Im both right now got me talking about my life I dont usually do this unless Im drunk or Im high But Im both right now I dont usually do this unless Im drunk or Im high But Im both right now and I need ya in my life I dont usually do this unless Im drunk or Im high But Im both right now,Both,,
Lil Uzi Vert,Rap,Hit it from the back watch a nigga bless you If Young Metro dont trust you Im gon shoot you Cryin in my arms like a nigga wrecked you Metro Boomin want some more nigga Ya alright alright alright You was right I was wrong Ya I shouldve never ever took her home Ya I shouldve just boned Ya fantasy on my phone Ya hit it from the back watch a nigga bless you Ya cryin in my arms like a nigga wrecked you Talkin bout a broken heart runnin to the restroom Looked at my mama just like we rich Looked at my bitch like we rich Said we aint got no minor setbacks Countin\ all that money told that nigga just to bet that I I know that you ain\t got it boy why you ain\t just say that They see I got that money now his bitch like I said that I don\t pay that ho no mind I been had that When I saw my girl yeah you know I had to bag that And before me fuck niggas yeah they had that Five niggas in includin me I had to back back Try to diss me I take it to your family I fuck your sister then make sure that she vanish Ya alright alright alright You was right I was wrong Ya I shouldve never ever took her home Ya I shouldve just boned Ya fantasy on my phone Ya hit it from the back watch a nigga bless you Ya cryin in my arms like a nigga wrecked you Talkin bout a broken heart runnin to the restroom Ya alright alright alright You was right I was wrong Ya I shouldve never ever took her home Ya I shouldve just boned Ya fantasy on my phone Ya hit it from the back watch a nigga bless you Ya cryin in my arms like a nigga wrecked you Talkin bout a broken heart runnin to the restroom yeah Even though we in the same room You just locked the door so I gotta text you Like bae unlock the door I got to use the restroom Like I dont want a war wanna caress you Ya alright alright alright You was right I was wrong Ya I shouldve never ever took her home Ya I shouldve just boned Ya fantasy on my phone Ya hit it from the back watch a nigga bless you Ya cryin in my arms like a nigga wrecked you Talkin bout a broken heart runnin to the restroom,You Was Right,,
