,Artist,Lyrics,Song
0,Desiigner,"[""This what they all been waitin' for\nI guess so\nThey been waitin’ for this shit for a long time didn't they\nI'ma give it everythin’ I got\nAyo Dougie park that X6 around the corner\nAyy I'm just feelin' my vibe right now\nI'm feelin' myself"", 'Panda, Panda\nPanda, Panda, Panda, Panda, Panda', ""I got broads in Atlanta\nTwistin' dope, lean, and the Fanta"", ""Credit cards and the scammers\nHittin' off licks in the bando"", 'Black X6, Phantom\nWhite X6 look like a panda', ""Goin' out like I’m Montana\nHundred killas, hundred hammers"", 'Black X6, Phantom\nWhite X6, panda', 'Pockets swole, Danny', 'Sellin’ bar, candy', ""Man I'm the macho like Randy"", 'The choppa go Oscar for Grammy', 'Bitch nigga pull up ya panty', 'Hope you killas understand me', 'I got broads in Atlanta\nTwistin’ dope, lean, and the Fanta', ""Credit cards and the scammers\nHittin' off licks in the bando"", 'Black X6, Phantom\nWhite X6 look like a panda', ""Goin' out like I'm Montana\nHundred killas, hundred hammers"", 'Black X6, Phantom\nWhite X6, panda', 'Pockets swole, Danny', 'Sellin’ bar, candy', ""Man I'm the macho like Randy"", 'The choppa go Oscar for Grammy', 'Bitch nigga pull up ya panty', 'Hey\nPanda, Panda\nPanda, Panda, Panda, Panda, Panda, Panda, Panda, Panda', ""I got broads in Atlanta\nTwistin' dope, lean, and shit, sippin' Fanta"", 'Credit cards and the scammers\nWake up Versace shit, life Desiigner', ""Whole bunch of lavish shit\nThey be askin' 'round town who be clappin' shit"", ""I be pullin' up stuff in the Phantom ship\nI got plenty of stuff of Bugatti whip look how I drive this shit"", ""Black X6, Phantom\nWhite X6, killin' on camera"", ""Pop a Perc, I can't stand up"", 'Gorilla, they come and kill you with bananas', 'Four fillas, they finna pull up in the Phantom\nKnow niggas, they come and kill you on the camera', ""Big Rollie, it dancin' bigger than a Pandie"", 'Go Oscar for Grammy,', 'bitch pull up ya panty', ""Fill up I'ma flip it, I got bitches pull up and they get it"", ""I got niggas that's countin' for digits"", 'Say you make you a lot of new money', 'Know some killas pull off and they in the Wraith', 'CTD, pull up in the killa Bape', ""Call up Phillip-Phillip, gon' fill the bank"", ""Niggas up in the bank, we gon' drill the bank\nFuck we gon' kill the bank, get it"", 'I got broads, yea I get it', 'I get cards yea I shitted\nThis how I live it', 'Did it all for a ticket', 'Now Flex drop bombs when he spin it', ""And Bobby gon' trend it"", ""Jeff The Don doin' business"", ""Zana Ray fuckin' up shit and she doin' her business"", ""I be gettin' to the chicken\nCountin' to the chicken\nAnd all of my niggas gon' split it"", 'Panda, Panda\nPanda, Panda, Panda, Panda, Panda', ""I got broads in Atlanta\nTwistin' dope, lean, and the Fanta"", ""Credit cards and the scammers\nHittin' off licks in the bando"", 'Black X6, Phantom\nWhite X6 look like a panda', ""Goin' out like I'm Montana\nHundred killas, hundred hammers"", 'Black X6, Phantom\nWhite X6, panda', 'Pockets swole, Danny', ""Sellin' bar, candy"", ""Man I'm the macho like Randy"", 'The choppa go Oscar for Grammy', 'Bitch nigga pull up ya panty', ""I got broads in Atlanta\nTwistin' dope, lean, and the Fanta"", ""Credit cards and the scammers\nHittin' off licks in the bando"", 'Black X6, Phantom\nWhite X6 look like a panda', ""Goin' out like I’m Montana\nHundred killas, hundred hammers"", 'Black X6, Phantom\nWhite X6, panda', 'Pockets swole, Danny', ""Sellin' bar, candy"", ""Man I'm the macho like Randy"", 'The choppa go Oscar for Grammy', 'Bitch nigga pull up ya panty', 'Panda, Panda\nPanda, Panda, Panda, Panda, Panda', '[Produced by Menace]']",Panda
1,Kent Jones,"['[Pre-Chorus]', ""Keep telling me this and telling me that\nYou said once you take me with you, I’ll never go back\nNow I got a lesson, that I want to teach\nI'ma show you that where you from don’t matter to me"", 'She said ""Hola, ¿Cómo estás?"", she said ""Konnichiwa""\nShe said ""Pardon my French"", I said ""Bonjour Madame""\nThen she said ""Sak pase"" and I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all\nShe said ""Hola, ¿Cómo estás?"", she said ""Konnichiwa""\nShe said ""Pardon my French"", I said ""Bonjour Madame""\nThen she said ""Sak pase"" and I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all', 'African American for sho\nI told her, ""Baby come and ride the rodeo""\nEvery time I come around man, I go for broke', ""She gives me desktop til' I overload"", ""Now baby you gon' go where you pos to go\n'Cause I ain't got time for you every day\nShe said she got a man keep it on the low\nI said he don’t speak English, fuck he gon' say (aye)"", '[Pre-Chorus]', 'Telling me this and telling me that\nYou said once you take me with you, I’ll never go back\nNow I got a lesson that I want to teach ya\nIma show you that where you from don’t matter to me', 'She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""\nShe said ""Pardon my French"", I said ""Bonjour Madame""\nThen she said ""Sak pase"" and I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all\nShe said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""\nShe said ""Pardon my French"", I said ""Bonjour Madame""\nThen she said ""Sak pase"" and I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all', 'She from Africa but she fucks me like she Haitian\nAss black, but the eyes looking Asian', 'I give her the can in Kansas\nI got it on tape, she on Candid Camera\nOkay see, I forgot we met in Oklahoma', 'I use to smoke Regina, she from Arizona\nThen I met a girl in Cali I never disowned her\nShe got that high grade, her weed come with diplomas\nI want her but she keep', '[Pre-Hook]', ""Telling me this and telling me that\nYou said once you take me with you, I’ll never go back\nNow I got a lesson that I want to teach ya\nI'ma show you that where you from don’t matter to me"", 'She said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""\nShe said ""Pardon my French"", I said ""Bonjour Madame""\nThen she said ""Sak pase"" and I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all\nShe said ""Hola, ¿Cómo estás?, she said ""Konnichiwa""\nShe said ""Pardon my French"", I said ""Bonjour Madame""\nThen she said ""Sak pase"" and I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all', '[Produced by Kent Jones & We The Best]']",Don't Mind
2,DJ Khaled Featuring Drake,"['Would you fuck me for free?', 'Another one\nWe the Best Music! Major Key! DJ Khaled!', ""I go on and on\nCan't understand how I last so long\nI must have the superpowers\nLast 223 thousand hours"", ""And it's cause I'm off of CC\nAnd I'm off the Hennessy"", ""And like your boy from Compton said\nYou know this dick ain't free!"", 'I got girls that I shoulda made pay for it\nGot girls that I shoulda made wait for it', ""Got girls that'll cancel a flight back home\nStay another day for it"", ""You got attitude on na na\nAnd your pussy on agua\nAnd your stomach on flat flat\nAnd your ass on what's that?"", 'And, yeah, I need it all right now\nLast year I had drama, girl not right now', ""I was never gon' chat what we talkin' about\nYou the only one I know could fit it all in her... man"", ""I always wonder if you ask yourself\nIs it just me?\nIs it just me?\nOr is this sex so good I shouldn't have to fuck for free?\nIs it just me?\nIs it just me?\nOr is this sex so good I shouldn't have to..."", '[Verse 2: Drake]', ""Fuck for free\nI know you workin' day and night to get a college degree\nBet nobody that you've been with even know you a freak, right?\nYou know you only do that with me, right?\nYeah, double checkin' on you\nYou know I never put the pressure on you\nYou know that you make your own mind up\nYou knew what it was when you signed up"", 'Now you gotta run it up\nI be out of words, tryna sum it up\nGirl you throw it back like one love', ""Even though you in the hood I'm still pullin' up\nDip, dip, straight to your doorstep"", 'This the real thing, can you feel the force yet', ""I always wonder if you ask yourself\nIs it just me?\nIs it just me?\nOr is this sex so good I shouldn't have to fuck for free?\nIs it just me?\nYeah, is it just me?\nIs this sex so good I shouldn't have to..."", 'Would you fuck me for free?', 'Another one', ""They don't want me to have another anthem\nSo I made sure I got another anthem"", ""It's We The Best OVO"", 'Summers ours\nIt always has been', ""Don't ever play yourself"", 'One time for Future the Prince\nOne time for 40\nOne time for Drake', 'Another one', 'Bless up']",For Free
3,Future Featuring The Weeknd,"[""High, high, get, get, gettin' high, everybody gettin' high\nGet, get, get, gettin' high, you're unbelievably high"", ""I just took some molly, what else? (Hey)\nGot some bitch from Follies with us ('scuse me, 'scuse me)\nShe gon' fuck the squad, what else? (I swear)\nI'ma fuck her broads, what else? (Get, get!)\nBitch from Pakistan, what up? (Foreign!)\nFerraris and them Lambs, what else? (skrrrt)\n'Bout to fuck this club up, what else? (Get, get!)"", 'Metro Boomin wants some more, nigga!', '[Verse 1: The Weeknd]', ""I turn the Ritz into a poor house\nIt's like eviction number four now"", ""Go 'head and ash it on the floor now\nGirl go 'head and show me how you go down\nAnd I feel my whole body peakin'\nAnd I'm fuckin' anybody with they legs wide"", ""Gettin' faded with some bitches from the West Side\nEast coast, nigga reppin' North Side"", ""Never waste a ho's time (Freebands)\nBitch, I'm on my own time\nFuck a nigga co-sign"", ""Always change my number and my phone line\nBaby girl, I don't lie"", 'Used to have no money for a crib\nNow my room service bill cost your whole life', ""If they try to stunt me, I go all out military\nI'm camo'ed all out, like I'm in the military"", 'I free up all my niggas locked up in the penitentiary', ""'Cause I'm always reppin' for that low life\nReppin' for that low life turn up\nLow life, low life, low life\nKnow I'm reppin' for that low, low life\nRepresentin', I'm representin', representin'\nSaid I'm reppin' for that low life\nLow life, low life, low life, low life\nI'm representin' for that low life\nSaid I'm repping for that low life\nI'm reppin', that's reppin', I'm reppin'\nLow life, low life, low life\nRep, rep, rep, rep, rep, rep, rep\nWoo, woo, woo, woo\nYeah"", '[Verse 2: Future]', ""Wake up take a sip of Ace of Spade like it's water"", 'I been on the molly and them Xans with your daughter', 'If she catch me cheating, I will never tell her sorry\nIf she catch me cheating, I will never tell her sorry', ""Porsches in the valet, I got Bentleys, I got 'Raris"", ""Taking pain pills on the plane, gettin' chartered"", ""Poppin' tags on tags, I was starvin'"", 'Bitch, I got the juice and the carbine', 'Turn a five star hotel to a traphouse\nRoaches everywhere, like we forgot to take the trash out', ""Flood my cross with ice, gettin' money my religion"", ""Got my baby momma and my side bitch kissin'\nI turn the Ritz into a lean house"", ""This the sixth time gettin' kicked out\nI can't feel my face, I'm on Adderall, nauseous"", ""Niggas tryna ride my fuckin' wave, now they salty"", ""Runnin' with the wave, get you killed quick\nShoot you in your back like you Ricky"", 'Lil Mexico, from no life to afterlife\nMy whole life, my whole life', ""'Cause I'm always reppin' for that low life\nLow life, low life, low life\nKnow I'm reppin' for that low, low life\nRepresentin', I'm representin', representin'\nSaid I'm reppin' for that low life\nLow life, low life, low life, low life\nI'm representin' that low life\nSaid I'm reppin' for that low life\nLow life, I'm reppin' for that low life\nLow life, low life, low life\nRep, rep, rep, rep, rep, rep, rep, woo\nYeah"", ""Yeah, they stereotypin'\n'Cause they know a nigga keep ten rifles\nAnd they know a nigga keep ten snipers\nKeep a baby bottle like we wearin' diapers\nYeah, they stereotypin'\n'Cause they know a nigga keep twenty rifles\nAnd they know a nigga keep twenty snipers\nAnd they know a nigga keep ten wifeys\nSniper, sniper, sniper, sniper, sniper"", ""Wifey, wifey, wifey, wifey, wifey\nThat's your wifey, wifey, wifey, wifey, wifey?\nI think I like her, like her, like her, like her\nThat's your wifey, wifey, wifey, wifey, wifey?\nI think I like her, like her, like her, like her\nOh, that's your wifey, wifey, wifey, wifey, wifey?\nI think I like her, like her, like her, like her"", ""Getting high, getting high, getting high\nEverybody getting high\nGetting high, getting high, getting high\nEverybody getting high\nGetting high, getting high, getting high\nEverybody getting high\nGetting high, getting high, getting high\nAnd I'm the reason why\nGetting high, getting high, getting high\nEverybody getting high\nGetting high, getting high, getting high\nEverybody getting high\nGetting high, getting high, getting high\nEverybody getting high\nGetting high, getting high, getting high\nAnd I'm the reason why"", ""I just took some molly, what else?\nGot some bitch from Follies with us\nShe gonna fuck the squad, what else?\nI'ma fuck her broads, what else?\nBitch from Pakistan, what up?\nFerraris and them Lambs, what else?\n'Bout to fuck this club, what else?\n'Bout to fuck this club, what else?""]",Low Life
4,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared","[""Nothin' can stop me, I'm all the way up\nAll the way up\nI'm all the way up\nI'm all the way up\nNothin' can stop me, I'm all the way up"", '[Bridge: French Montana + Infa-Red]', ""Shorty what you want? Shorty what you need?\nMy niggas run the game, we ain't ever leavin'\nCountin' up this money, we ain't never sleepin'"", 'You got V12, I got 12 Vs', ""Got bottles, got weed, got molly (I'm all the way up)\nShorty what you want? I got what you need\nShorty what you want? I got what you need\nShorty what you want? I got what you need"", ""I'm all the way up\nI'm all the way up\nI'm all the way up\nAll the way up\nNothin' can stop me, I'm all the way up"", 'For my niggas with Bentley coupes and Rolexes\nKicked the bitch out the room and gave her no breakfast', 'Had to stash the jewels, these bitches so reckless', ""Keep my hoes on cruise, I'm talkin' naughty nothings\nShorty uptown showin' off her new things"", ""Couldn't take it all so I gave her un chin"", 'She call me top shotta, yeah I keep a few tings', 'Champion sound, yeah I got a few rings', ""And I'm all the way up\nAnd you can stay up"", ""And if you ask anybody where I live\nThey'll point to the hills and say\nGo all the way up\nGo all the way up"", ""I'm all the way up\nI'm all the way up\nNothin' can stop me, I'm all the way up"", 'Just left the big house to a bigger house', ""Ain't have a girlfriend, but the bitch is out"", ""Chanel croc bag, shit ain't even out\nWith the gold chains, Himalayan, Birkin cocaine"", ""Lit it up, Pac shit, I hit 'em up"", ""I'm talkin' color money, purple yen and blue dirham\nI got brown lira, I ain't talkin' 'bout Ross bitch"", ""I'm that nigga on Viagra dick\nThat means I'm all the way up\nAnd you can stay up\nP.O.s say I can't get high\nHopped in the helicopter Uber and said\nGo all the way up\nGo all the way up"", ""I'm all the way up\nI'm all the way up\nNothin' can stop me, I'm all the way up"", ""Shorty what you want? Shorty what you need?\nMy niggas run the game, we ain't ever leavin'\nCountin' up this money, we ain't never sleepin'"", 'You got V12, I got 12 Vs', ""Got bottles, got weed, got molly (I'm all the way up)\nShorty what you want? I got what you need\nShorty what you want? I got what you need\nShorty what you want? I got what you need"", ""I'm all the way up\nI'm all the way up\nI'm all the way up\nI'm all the way up\nNothin' can stop me, I'm all the way up\nAll the way up\nI'm all the way up\nI'm all the way up\nNothin' can stop me, I'm all the way up""]",All The Way Up
5,G-Eazy x Bebe Rexha,"['[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life (Yeah)\nOh, I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Verse 1: G-Eazy]', 'And as far as I can see, I just need privacy\nPlus a whole lot of tree, fuck all this modesty', ""I just need space to do me\nGive the world what they're tryna see"", ""A Stella Maxwell right beside of me\nA Ferrari, I'm buyin' three\nA closet of Saint Laurent, get what I want when I want"", ""‘Cause this hunger is drivin' me, yeah\nI just need to be alone, I just need to be at home"", ""Understand what I'm speakin' on\nIf time is money I need a loan\nBut regardless I'll always keep keepin' on"", ""Fuck fake friends!\nWe don't take L's, we just make M's"", ""While y'all follow, we just make trends\nI'm right back to work when that break ends"", '[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life\n(Got me for life, yeah)\nOh I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Post-Hook: Bebe Rexha & (G-Eazy)]', ""I don't need anything to get me through the night\nExcept the beat that's in my heart\nYeah, it's keepin' me alive (Keeps me alive)\nI don't need anything to make me satisfied (You know)\n‘Cause the music does me good\nAnd it gets me every time (Yeah)"", '[Verse 2: G-Eazy]', 'Yeah, and I don\'t like talkin\' to strangers\nSo get the fuck off me, I\'m anxious\nI\'m tryna be cool, but I may just go ape shit\nSay ""Fuck y\'all!"" to all of y\'all faces', ""It changes though now that I'm famous\nEveryone knows how this lifestyle is dangerous\nBut I love it, the rush is amazin'\nCelebrate nightly and everyone rages"", ""I found how to cope with my angers\nI'm swimmin' in money\nSwimmin' in liquor, my liver is muddy\nBut it's all good, I'm still sippin' this bubbly"", ""This shit is lovely, this shit ain't random, I didn't get lucky\nMade it right here ‘cause I'm sick with it, cuddy"", ""They all take the money for granted\nBut don't want to work for it—tell me now, isn't it funny?"", '[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life\nOh, I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Post-Hook: Bebe Rexha & (G-Eazy)]', ""I don't need anything to get me through the night\nExcept the beat that's in my heart\nYeah, it's keepin' me alive\nI don't need anything to make me satisfied\n‘Cause the music fills me good\nAnd it gets me every time"", '[Bridge: Bebe Rexha & (G-Eazy)]', 'Like, ba-ba-ba-ba-da-ba\nBa-ba-ba-da-ba (Yeah)\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\n‘Cause the music fills me good\nAnd it gets me every time', '[Verse 3: G-Eazy]', 'Yeah, lonely nights I laid awake\nPray to Lord my soul to take', ""My heart's become too cold to break"", ""Know I'm great, but I'm broke as hell\nHavin' dreams that I'm foldin' cake"", ""All my life I've been told to wait\nBut I'ma get it now, yeah, it's no debate\nYeah"", '[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life\n(Got me for life, yeah)\nOh, I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Post-Hook: Bebe Rexha & (G-Eazy)]', ""I don't need anything to get me through the night\nExcept the beat that's in my heart\nAnd it's keepin' me alive (Keeps me alive)\nI don't need anything to make me satisfied (You know)\n‘Cause the music fills me good\nAnd it gets me every time"", '[Bridge: Bebe Rexha]', 'Like, ba-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\n‘Cause the music fills me good\nAnd it gets me every time', '[Produced By Michael Keenan]', '[Music Video]']","Me, Myself & I"
6,Drake Featuring Rihanna,"[""Look...I don't know how to talk to you\nI don't know how to ask you if you're okay"", ""My friends always feel the need to tell me things\nSeems like they're just happier than us these days"", ""Yeah, these days I don't know how to talk to you\nI don't know how to be there when you need me\nIt feels like the only time you see me\nIs when you turn your head to the side and look at me differently"", 'Yeah, and last night I think I lost my patience\nLast night, I got high as your expectations\nLast night, I came to a realization\nAnd I hope you can take it\nI hope you can take it', ""I'm too good to you\nI'm way too good to you\nYou take my love for granted\nI just don't understand it\nNo, I'm too good to you\nI'm way too good to you\nYou take my love for granted\nI just don't understand it"", ""I don't know how to talk to you\nI just know I found myself getting lost with you"", 'Lately you just make me work too hard for you', ""Got me on flights overseas, and I still can't get across to you"", 'And last night I think I lost my patience\nLast night, I got high as your expectations\nLast night, I came to a realization\nAnd I hope you can take it\nI hope you can take it', ""I'm too good to you\nI'm way too good to you\nYou take my love for granted\nI just don't understand it\nNo, I'm too good to you\nI'm way too good to you\nYou take my love for granted\nI just don't understand it"", ""Years go by too fast\nI can't keep track\nHow long did we last?\nI feel bad for asking\nIt can't end like this\nWe gotta take time with this"", 'Cock up yuh bumper, sit down pon it\nLet me see if this is something I can fix', ""You got somebody other than me\nDon't play the victim when you're with me\nFree time is costing me more than it seems\nSacrificing things"", 'And I wanna tell you my intentions\nI wanna do the things that I mention\nI wanna benefit from the friendship\nI wanna get the late night message from you, from you', 'I put my hands around you\nGotta get a handle on you\nGotta get a handle on the fact that...', ""I'm too good to you\nI'm way too good to you\nYou take my love for granted\nI just don't understand it\nNo, I'm too good to you\nI'm way too good to you\nYou take my love for granted\nI just don't understand it"", '[Outro: Popcaan]', 'Gyal a you mi waan\nPay fi yuh visa meck yo fly out regular\nBaby, cock up yuh bumper, sit down pon it\nGyal yo pum pum good and yuh fit\nMi wi give you everything weh deh in my wallet\nAnd in my pocket\nCock up yuh bumper, sit down pon it\nGyal yo pum pum good and yuh fit\nMi wi give you everything weh deh in my wallet\nAnd in my pocket']",Too Good
7,O.T. Genasis Featuring Young Dolph,"['Cut it, cut it, cut it, cut it\nCut it, cut it, cut it, cut it\nThem bricks is way too hot, you need to cut it\nYour price is way too high, you need to cut it\nCut it, cut it, cut it, cut it\nCut it, cut it, cut it, cut it\nThem bricks is way too hot, you need to cut it\nYour price is way too high, you need to cut it', ""Run up them bands on the regular, hittin' my plug on the cellular"", ""Tell my ex bitch that I'm sorry, Imma skate off in the 'Rari"", 'Keep 36 by my side, Imma go bake me a pie\nKeep 45 on my side, fuck with my niggas, you die', 'All of my niggas say blood, all of my niggas say cuh', 'Keep it a hundred, no bull, I fell in love with the drugs', ""Water whippin', lookin' like I'm fishin'"", ""Baseball in kitchen, with my arm I'm pitchin'"", ""Rolie on, it's glistenin', and my darling, kissin'"", ""Niggas steady trippin' so I'm steady grippin'"", 'Cut it, cut it, cut it, cut it\nCut it, cut it, cut it, cut it\nThem bricks is way too hot, you need to cut it\nYour price is way too high, you need to cut it\nCut it, cut it, cut it, cut it\nCut it, cut it, cut it, cut it\nThem bricks is way too hot, you need to cut it\nYour price is way too high, you need to cut it', ""Went and bought a 911 with my trap money\nA million up but still ain't never touch my rap money"", ""I'm out in LA fuckin' with that boy OT\nFlew to LA, got a plug on that OG"", 'You know I\'ve been gettin\' money if you know me\nWhen I first met my plug, I told him, ""I piss a hundred G\'s""', ""I ain't comin' to get it unless you got a hundred piece"", ""I don't want it, fuck it, your price, you need to cut it"", 'Your ice, you need to tuck it, she fuck with me, she lucky', 'A half a million, all 20s in that Gucci luggage', ""Let's skip the small talk, it's time to talk numbers"", ""Young nigga playin' with commas, might go get a Lamb for the summer"", ""My nigga beefin' then I'm beefin', wrong or right I'm bustin'"", 'Put some Forgis on my old school and I had to gut it\nBut should I put a roof in?', 'Cut it, cut it, cut it, cut it\nCut it, cut it, cut it, cut it\nThem bricks is way too hot, you need to cut it\nYour price is way too high, you need to cut it\nCut it, cut it, cut it, cut it\nCut it, cut it, cut it, cut it\nThem bricks is way too hot, you need to cut it\nYour price is way too high, you need to cut it']",Cut It
8,Kevin Gates,"['Hello? What the deal? Bet', 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’"", 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’"", ""Button start the foreign, oh my God I'm gorgeous\nI just put the key inside my pocket\nPark it, might not get to see it, this a new Ferrari"", 'Man in the mirror, how you choose to bother', ""Someone said they callin', I don't feel like talkin'\nEverything I get returned the way I bought it"", ""Phone be interrupting me while I'm recordin'\nPhone be making women feel they unimportant"", ""Call my dog, he say it's all the way retarded\nKeep the oil cause I am not using the Foreman\nKitchen, I just finished up a new performance"", 'Hater, wish you well\nI got clientele\nI just got it off the scale', 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’"", 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’"", ""There they go again, one of my lil friends\nThey don't give a damn how a nigga been\nAll they wanna know is what I got to give\nHow much did I spend? What I got to lend?\nWhat I did and what I didn't do for them"", ""Bricks comin' in somewhere on the rim"", ""Section doin' numbers, nowhere by a gym"", ""Jumpin' out a Honda, I just got it in"", ""Askin' what I cop, none of your concern"", ""Everything on sale, goin' out of biz"", 'Partners up in jail, gotta feed the kids', 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’"", 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’"", ""Getting calling cards from your Barbie doll\nWhen she round me she know I'm her bodyguard"", ""Money callin' for me, baby girl I'm sorry\nYou just high yella you not that important"", ""Smell like tartar, I'mma put you in the water"", ""Engagin' where I'm gazin' at her hips\nAnd ain't nobody makin' no attempts\nAmazing clip, hanging, slanging dick\nMaybe we can make it takin' trips\nMaybe I was thinkin' too impatient\nPhone ringing, hold up, what it is?"", 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’"", 'I got two phones, one for the plug and one for the load', 'I got two phones, one for the bitches and one for the dough', ""Think I need two more, line bumpin’ I’m ring, ring, ringin’\nCountin’ money while they ring, ring, ringin’\nTrap jumpin' I’m ring, ring, ringin’""]",2 Phones
9,Drake Featuring The Throne,"['Dropped outta school now we dumb rich (dumb rich)', 'This sound like some forty-three-oh-one shit (one shit)', 'All my niggas wanna do is pop style (pop style)', 'Turn my birthday into a lifestyle (lifestyle)', 'Tell my mom I love her if I do not make it (do not make it)', 'Got so many chains they call me Chaining Tatum (they do, they do)', ""And I like to finish what you think you started\nMan you boys just got to Hollywood, you boys just started\nYou don't know what you just started"", 'All I do is hang with the young and heartless', ""All this for my family, man, I try my hardest\nIt's all I ever did and look where it got him"", ""Yeah, you've been on my mind lately\nYou've still got my number, girl you need to call me"", 'I feel like they wanna see me learn the hard way\nBut you know I always handle that one my way', 'Girl let me rock, rock, rock, rock, rock your body\nJustin Timberlake and then I hit the highway', ""I can't trust no fuckin' body\nThey still out to get me cause they never got me"", '[Verse 2]', ""They still out to get me, I don't get it\nI can not be got, and that's a given"", 'Give a real nigga the number one\nEven though I got like twenty-one', ""Cannot be me I'm a one-of-one\nSchooling your ass like 101"", 'They been out here tryna slide on me\nThey been out here telling lies on me', 'Everybody looking out for themself\nBut they still got they eyes on me', ""See me putting in the hard work now, aye\nMomma doesn't have to call work now, aye\nI decide when I start work now, aye"", 'Problems hit the gym, they all work out', ""MVP, MVP, oh-nine all the way to sixteen\nEven next season looking like a breeze\nLot of y'all ain't built for the league, yeah"", ""Trade you off the team while you in your sleep, yeah\nY'all showed me that nothing's guaranteed\nAnd you don't know what you started"", ""My friend's chain so big that he look like the artist"", ""I can't trust no fuckin' body\nThey still out to get me cause they never got me"", 'Dropped outta school now we dumb rich (dumb rich)', 'This sound like some forty-three-oh-one shit (one shit)', 'All my niggas wanna do is pop style (pop style)', 'Turn my birthday into a lifestyle (lifestyle)']",Pop Style
