,Artist,Song
0,Desiigner,Panda
1,Kent Jones,Don't Mind
2,DJ Khaled Featuring Drake,For Free
3,Future Featuring The Weeknd,Low Life
4,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",All The Way Up
5,G-Eazy x Bebe Rexha,"Me, Myself & I"
6,Drake Featuring Rihanna,Too Good
7,O.T. Genasis Featuring Young Dolph,Cut It
8,Kevin Gates,2 Phones
9,Drake Featuring The Throne,Pop Style
10,Future,Wicked
11,Kevin Gates,Really Really
12,MadeinTYO,Uber Everywhere
13,Fetty Wap,Wake Up
14,Pitbull Featuring Enrique Iglesias,Messin' Around
15,Drake,Hype
16,Drake,Childs Play
17,Drake,Still Here
18,Drake Featuring Future,Grammys
19,Belly Featuring The Weeknd,Might Not
20,Drake,Feel No Ways
21,Yo Gotti Featuring E-40,Law
22,Kanye West,Father Stretch My Hands Pt. 1
23,Young Greatness,Moolah
24,Chance The Rapper Featuring Lil Wayne & 2 Chainz,No Problem
25,Drake,Hotline Bling
26,Drake & Future,Jumpman
27,Post Malone,White Iverson
28,Travis Scott,Antidote
29,Fetty Wap Featuring Remy Boyz,679
30,G-Eazy x Bebe Rexha,"Me, Myself & I"
31,Yo Gotti Featuring Nicki Minaj,Down In The DM
32,Fetty Wap,Again
33,Future Featuring Drake,Where Ya At
34,Young Thug,Best Friend
35,DLOW,Do It Like Me
36,DeJ Loaf Featuring Big Sean,Back Up
37,iLoveMemphis,Hit The Quan
38,Drake & Future,Big Rings
39,Kevin Gates,2 Phones
40,Missy Elliott Featuring Pharrell Williams,WTF (Where They From)
41,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money
42,Kevin Gates,Really Really
43,2 Chainz,Watch Out
44,Fetty Wap,RGF Island
45,Lil Durk & DeJ Loaf,My Beyonce
46,"Colonel Loud Featuring T.I., Young Dolph & Ricco Barrino",California
47,iLoveMemphis,Lean & Dabb
48,J. Cole,A Tale Of 2 Citiez
49,Future,Stick Talk
50,Migos Featuring Lil Uzi Vert,Bad And Boujee
51,Rae Sremmurd Featuring Gucci Mane,Black Beatles
52,Machine Gun Kelly x Camila Cabello,Bad Things
53,Drake,Fake Love
54,Amine,Caroline
55,Big Sean,Bounce Back
56,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem)
57,21 Savage & Metro Boomin Featuring Future,X
58,Rob $tone Featuring J. Davi$ & Spooks,Chill Bill
59,Young M.A,OOOUUU
60,Lil Uzi Vert,You Was Right
61,KYLE Featuring Lil Yachty,iSpy
62,Gucci Mane Featuring Drake,Both
63,21 Savage & Metro Boomin,No Heart
64,J. Cole,Deja Vu
65,Future Featuring Drake,Used To This
66,DJ ESCO Featuring Future & Lil Uzi Vert,Too Much Sauce
67,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind
68,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain
69,PnB Rock,Selfish
70,Big Sean,Moves
71,Rae Sremmurd,Swang
72,Drake Featuring 21 Savage,Sneakin'
73,J. Cole,Neighbors
74,DJ Luke Nasty,OTW
75,Post Malone Featuring 21 Savage,Rockstar
76,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit
77,"Migos, Nicki Minaj & Cardi B",MotorSport
78,Lil Pump,Gucci Gang
79,Kendrick Lamar Featuring Zacari,Love.
80,6ix9ine,Gummo
81,NF,Let You Down
82,G-Eazy & Halsey,Him & I
83,Cardi B Featuring 21 Savage,Bartier Cardi
84,Post Malone,I Fall Apart
85,Gucci Mane Featuring Migos,I Get The Bag
86,A$AP Ferg Featuring Nicki Minaj,Plain Jane
87,Eminem Featuring Ed Sheeran,River
88,Kodak Black Featuring XXXTENTACION,Roll In Peace
89,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes
90,N*E*R*D & Rihanna,Lemon
91,Offset & Metro Boomin,Ric Flair Drip
92,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles
93,Macklemore Featuring Kesha,Good Old Days
94,Lil Skies Featuring Landon Cube,Nowadays
95,Migos,Stir Fry
96,YBN Nahmir,Rubbin Off The Paint
97,Kodak Black Featuring Lil Wayne,Codeine Dreaming
98,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",Keke
99,Famous Dex Featuring A$AP Rocky,Pick It Up
