,"10,000 Emerald Pools",7,Adventure Of A Lifetime,Alaska,All The Pretty Girls,America's Sweetheart,Angela,Arsonist's Lullabye,"Atlas, Rise!",Believer,Blame,Brace For Impact (Live A Little),Brand New,Chain Breaker,Cocoon,Cold Cold Cold,Dancing On Glass,Death Of A Bachelor,Die Young,Ditmas,"Do It, Try It",Don't Threaten Me With A Good Time,Emperor's New Clothes,Ex's & Oh's,Feed The Machine,Feel It Still,Fire Escape,Genghis Khan,Gone,Good Girls,HandClap,Happy Song,Hard Love,Hated,Heathens,Heavy,Heavydirtysoul,Help,Here's To The Heartache,Hot Thoughts,How Did You Love,Human,Hymn For The Weekend,Hypnotised,In The Dark,Keeping Your Head Up,Kiss This,LA Devotee,Let It Go,Let You Down,Lost On You,Love,Love Is Mystical,Love On The Weekend,Mess Around,Message Man,Middle Fingers,Monster,Mountain At My Gates,My Name Is Human,Never Again,Nimble Bastard,On Hold,Ophelia,Past Lives,Renegades,Ride,Rise,Saint Cecilia,Shine,Somebody Else,Spirits,Stars,Start A Riot,State Of My Head,Still Breathing,Still Feel Like Your Man,Stressed Out,Sucker For Pain,Sweet Disaster,Tearing Me Up,Testify,The Less I Know The Better,The Light,The Sound,The Sound Of Silence,Trip Switch,UGH!,Unsteady,Victorious,Walking On A Dream,Wash It All Away,Waste A Moment,Way Down We Go,Wild Horses,Wish I Knew You,Woman Woman,You And I
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I wish I found some better sounds no one's ever heard\nI wish I had a better voice that sang some better words\nI wish I found some chords in an order that is new\nI wish I didn't have to rhyme every time I sing"", ""I was told, when I get older, all my fears would shrink\nBut now I'm insecure, and I care what people think"", ""My name's Blurryface and I care what you think\nMy name's Blurryface and I care what you think"", ""Wish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWe're stressed out"", ""Sometimes a certain smell will take me back to when I was young\nHow come I'm never able to identify where it's coming from?"", ""I'd make a candle out of it, if I ever found it\nTry to sell it, never sell out of it, I'd probably only sell one\nIt'd be to my brother, 'cause we have the same nose\nSame clothes, home grown, the stone's throw from a creek we used to roam"", 'But it would remind us of when nothing really mattered\nOut of student loans and tree house homes, we all would take the latter', ""My name's Blurryface and I care what you think\nMy name's Blurryface and I care what you think"", ""Wish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out"", '[Bridge]', ""Used to play pretend, give each other different names\nWe would build a rocket ship and then we'd fly it far away"", 'Used to dream of outer space, but now they\'re laughin\' at our face\nSingin\', ""wake up, you need to make money!"", yeah', ""Used to play pretend, give each other different names\nWe would build a rocket ship and then we'd fly it far away"", 'Used to dream of outer space, but now they\'re laughin\' at our face\nSingin\', ""wake up, you need to make money!"", yeah', ""Wish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out\nWish we could turn back time\nTo the good old days\nWhen our momma sang us to sleep but\nNow we're stressed out"", '[Outro]', 'We used to play pretend, used to play pretend, bunny\nWe used to play pretend, wake up you need the money\nUsed to play pretend, used to play pretend, bunny\nWe used to play pretend, wake up you need the money', ""Used to play pretend, give each other different names\nWe would build a rocket ship and then we'd fly it far away"", 'Used to dream of outer space, but now they\'re laughin\' at our face\nSayin\', ""wake up, you need to make money!"", yeah']",,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,"['Well, I had me a boy, turned him into a man', ""I showed him all the things that he didn't understand\nWhoa, and then I let him go"", ""Now, there's one in California who's been cursing my name\nCause I found me a better lover in the UK\nHey, hey, until I made my getaway"", ""One, two, three, they gonna run back to me\nCause I'm the best baby that they never gotta keep\nOne, two, three, they gonna run back to me"", 'They always wanna come, but they never wanna leave', ""Ex's and the oh, oh, oh's they haunt me"", ""Like ghosts they want me to make 'em O\nThey won't let go"", ""Ex's and oh's"", 'I had a summer lover down in New Orleans\nKept him warm in the winter, left him frozen in the spring', 'My, my, how the seasons go by', 'I get high, and I love to get low', ""So the hearts keep breaking, and the heads just roll\nYou know that's how the story goes"", ""One, two, three, they gonna run back to me\nCause I'm the best baby that they never gotta keep\nOne, two, three, they gonna run back to me"", 'They always wanna come, but they never wanna leave', ""Ex's and the oh, oh, oh's they haunt me"", ""Like ghosts they want me to make 'em O\nThey won't let go"", ""Ex's and the oh, oh, oh's they haunt me"", ""Like ghosts they want me to make 'em O\nThey won't let go"", ""Ex's and oh's"", 'One, two, three, they gonna run back to me\nClimbing over mountains and a-sailing over seas\nOne, two, three, they gonna run back to me\nThey always wanna come, but they never wanna leave', 'They won’t let go\nEx’s and oh’s']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['From walking home and talking loads\nTo seeing shows in evening clothes with you\nFrom nervous touch and getting drunk\nTo staying up and waking up with you', ""Now we're sleeping near the edge"", ""Holding something we don't need"", 'All this delusion in our heads is gonna bring us to our knees', ""So come on, let it go, just let it be\nWhy don't you be you, and I'll be me?"", ""Everything that's broke, leave it to the breeze"", ""Why don't you be you, and I'll be me?"", ""And I'll be me"", 'From throwing clothes across the floor', 'To teeth and claws and slamming doors at you', ""If this is all we're living for\nWhy are we doing it, doing it, doing it anymore?"", ""I used to recognize myself\nIt's funny how reflections change\nWhen we're becoming something else\nI think it's time to walk away"", ""Why don't you be you, and I'll be me?"", ""Everything that's broke, leave it to the breeze"", ""Why don't you be you, and I'll be me?"", ""And I'll be me"", ""Tryna fit your hand inside of mine\nWhen we know it just don't belong\nCause no force on earth could make it feel right, no no"", ""Tryna push this problem up the hill\nWhen it's just too heavy to hold\nI think now's the time to let it slide"", ""So come on, let it go, just let it be\nWhy don't you be you, and I'll be me?"", ""Everything that's broke, leave it to the breeze"", 'Let the ashes fall, forget about me', ""Why don't you be you, and I'll be me?"", ""And I'll be me""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,"['[Produced by StarGate & Coldplay]', '[Indecipherable]', '[Verse 1]', ""Turn your magic on\nUmi she'd say"", ""Everything you want's a dream away\nAnd we are legends, every day\nThat's what she told me"", ""Turn your magic on, to me she'd say"", ""Everything you want's a dream away"", 'Under this pressure, under this weight\nWe are diamonds', ""Now I feel my heart beating\nI feel my heart underneath my skin\nAnd I feel my heart beating\nOh, you make me feel\nLike I'm alive again\nAlive again\nOh, you make me feel\nLike I'm alive again"", ""Said I can't go on, not in this way\nI'm a dream that died by light of day"", 'Gonna hold up half the sky and say\nOnly I own me', ""Now I feel my heart beating\nI feel my heart underneath my skin\nOh, I can feel my heart beating\nCause you make me feel\nLike I'm alive again\nAlive again\nOh, you make me feel\nLike I'm alive again"", ""Turn your magic on, Umi she'd say"", ""Everything you want's a dream away"", 'Under this pressure, under this weight\nWe are diamonds taking shape\nWe are diamonds taking shape\n(Woo, woo)', ""If we've only got this life\nThis adventure, oh then I\nAnd if we've only got this life\nYou'll get me through\nAnd if we've only got this life\nIn this adventure, oh then I\nWant to share it with you\nWith you, with you\nYeah I do""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I've come to talk with you again"", 'Because a vision softly creeping\nLeft its seeds while I was sleeping\nAnd the vision that was planted in my brain\nStill remains within the sound of silence', ""In restless dreams I walked alone\nNarrow streets of cobblestone\n'Neath the halo of a street lamp\nI turned my collar to the cold and damp\nWhen my eyes were stabbed by the flash of a neon light\nThat split the night and touched the sound of silence"", 'And in the naked light I saw\nTen thousand people, maybe more\nPeople talking without speaking\nPeople hearing without listening', 'People writing songs that voices never shared\nAnd no one dared disturb the sound of silence', '""Fools"", said I, ""You do not know\nSilence like a cancer grows\nHear my words that I might teach you\nTake my arms that I might reach you""\nBut my words like silent raindrops fell\nAnd echoed in the wells of silence', 'And the people bowed and prayed\nTo the neon God they made\nAnd the sign flashed out its warning\nIn the words that it was forming\nAnd the sign said ""The words of the prophets are written on the subway walls\nAnd tenement halls""']",,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Run away-ay with me\nLost souls in revelry\nRunning wild and running free\nTwo kids, you and me', 'Long live the pioneers\nRebels and mutineers\nGo forth and have no fear\nCome close and lend an ear', 'All hail the underdogs\nAll hail the new kids\nAll hail the outlaws', ""Spielberg's and Kubrick's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I just wanna stay in the sun where I find\nI know it's hard sometimes\nPieces of peace in the sun's peace of mind\nI know it's hard sometimes"", ""Yeah I think about the end just way too much\nBut it's fun to fantasize"", ""On my enemies I wouldn't wish who I was\nBut it's fun to fantasize"", ""Oh Oh Ohhh Oh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nOh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nTaking my time on my ride"", '""I\'d die for you,"" that\'s easy to say', 'We have a list of people that we would take\nA bullet for them, a bullet for you\nA bullet for everybody in this room', ""But I don't seem to see many bullets coming through\nSee many bullets coming through\nMetaphorically I'm the man\nBut literally I don't know what I'd do"", '""I\'d live for you,"" and that\'s hard to do\nEven harder to say when you know it\'s not true\nEven harder to write when you know that tonight', 'There were people back home who tried talking to you\nBut then you ignore them still', 'All these questions they’re for real\nLike who would you live for? Who would you die for?', 'And would you ever kill?', ""Oh Oh Ohhh Oh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nOh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nTaking my time on my ride"", ""I've been thinking too much\nI've been thinking too much\nI've been thinking too much\nI've been thinking too much\nHelp me\nI've been thinking too much\n(I've been thinking too much)\nI've been thinking too much\nHelp me\nI've been thinking too much\n(I've been thinking too much)\nI've been thinking too much"", ""Oh Oh Ohh Oh Oh Ohh I'm falling\nSo I'm taking my time on my ride Oh Oh Ohh\nI'm falling so I'm taking my time\nTaking my time on my ride woah oh oh"", ""Oh Oh Ohh Oh Oh Ohh I'm falling\nSo I'm taking my time on my ride Oh Oh Ohh\nI'm falling so I'm taking my time on my"", 'I’ve been thinking too much\nHelp me\nI’ve been thinking too much\nHelp me\nI’ve been thinking too much\nI’ve been thinking too much\nI’ve been thinking too much\nHelp me\nI’ve been thinking too much\nI’ve been thinking too much\nI’ve been thinking too much\nHelp me']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Will I see again?', 'We are always running for the thrill of it, thrill of it', 'Always pushing up the hill,', 'searching for the thrill of it', ""Never looking down I'm just in awe in whats in front of me"", 'Is it real now\nWhen two people become one\nI can feel it\nWhen two people become one', ""Thought I'd never see\nThe love you found in me"", ""Now it's changing all the time\nLiving in a rhythm where the minute's working over time"", 'We are always running for the thrill of it, thrill of it', 'Always pushing up the hill,', 'searching for the thrill of it', ""Never looking down I'm just in awe in whats in front of me"", 'Is it real now\nWhen two people become one\nI can feel it\nWhen two people become one\nIs it real now\nWhen two people become one\nI can feel it\nWhen two people become one', 'All we got is tonight that is right till first light', 'Is it real now\nWhen two people become one\nI can feel it\nWhen two people become one\nIs it real now\nWhen two people become one\nI can feel it\nWhen two people become one']",,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Ah, ah, when I was younger\nI, I should've known better\nAnd I can't feel no remorse\nAnd you don't feel nothing back"", ""(Ah, ah!) got a new girlfriend\nHe feels like he's on top"", ""And I don't feel no remorse\nAnd you can't see past my blindness"", ""Oh, Ophelia\nYou've been on my mind, girl, since the flood\nOh, Ophelia\nHeaven help the fool who falls in love"", 'I, I got a little paycheck\nYou got big plans and you gotta move (whoo!)', ""And I don't feel nothing at all\nAnd you can't feel nothing small"", ""Honey, I love you\nThat's all she wrote"", ""Oh, Ophelia\nYou've been on my mind, girl, like a drug"", 'Oh, Ophelia\nHeaven help the fool who falls in love', 'Oh, Ophelia', ""You've been on my mind, girl, since the flood\nOh, Ophelia\nHeaven help the fool who falls in love\nOh, Ophelia"", ""You've been on my mind, girl, like a drug"", 'Oh, Ophelia', 'Heaven help the fool who falls in love']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady\nHold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady"", ""Daddy, I'm alone\n'Cause this house don't feel like home"", ""If you love me, don't let go, woah\nIf you love me, don't let go"", ""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady\nHold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady"", ""Mother, I know\nThat you're tired of being alone"", ""Dad, I know you're trying\nTo fight when you feel like flying"", ""But if you love me, don't let go, woah\nIf you love me, don't let go"", ""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady\nHold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady"", ""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady""]",,,,,,,,,
