Song Name,Genre,Lyrics
在梅边,古风,"这厢是 梦梅恋上画中的仙
那厢是 丽娘为爱消香殒碎
为了爱 不吃不喝不睡
但穿过千年爱情不再流行生死相恋
爱是什么 什么是爱
接近以后就电
喜欢以后就追
腻了以后就飞
但亲爱 我为你狂 我为你变
就让我爱你爱的很深很远很古典
春水望断 夏花宿妆残
谁闻秋蝉 谁知冬来
冷秋千 笑声似犹在
剪不断思念 欲理还乱
前缘 等待 再续 后爱
梦梅 丽娘 还魂 归来
岁月 摧残 发白
就叫我白了头铁了心去等去爱
在梅边落花似雪纷纷绵绵谁人怜
在柳边风吹悬念生生死死随人愿
千年的等待滋味酸酸楚楚两人怨
牡丹亭上我眷恋日日年年未停歇
不停歇 不恨不怪不怨尤谁
只等待 牡丹开成灿烂的天
让传奇 永远被人看见
让红尘世人能够感动能够深深了解
爱是什么 爱并不是
接近以后就电
喜欢以后就追
腻了以后就飞
就让这隽永传说为你重演
就让我爱你爱的很深很远很古典
春水望断 夏花宿妆残
谁闻秋蝉 谁知冬来
冷秋千 笑声似犹在
剪不断思念 欲理还乱
前缘 等待 再续 后爱
梦梅 丽娘 还魂 归来
岁月 摧残 发白
就叫我白了头铁了心去等去爱
在梅边落花似雪纷纷绵绵谁人怜
在柳边风吹悬念生生死死随人愿
千年的等待滋味酸酸楚楚两人怨
牡丹亭上我眷恋日日年年未停歇
(昆曲)他年得傍蟾宫客
不在梅边在柳边
他年得傍蟾宫客
不在梅边在柳边
在梅边落花似雪纷纷绵绵谁人怜
在柳边风吹悬念生生死死随人愿
千年的等待滋味酸酸楚楚两人怨
牡丹亭上我眷恋日日年年未停歇
在梅边落花似雪纷纷绵绵谁人怜
在柳边风吹悬念生生死死随人愿
千年的等待滋味酸酸楚楚两人怨
牡丹亭上我眷恋日日年年未停歇
在梅边不知爱何时出现
在现实生活还是只能在梦里面
牡丹亭描述的浪漫不可思议
尤其是对我们这种新新人类
尤其是对我们生活太忙乱
没有时间吃饭
上网到眼睛酸
科技发达好有效率
而生活的节奏比明朝的快速一万倍
怎样才能够满足
小朋友哪有时间坐在那里看牡丹亭
花十九个小时唱到所有观众老了
作火车地铁飞机高速公路又在堵车
聪明的人知道时间就是钱要把握
失控之前要喘一口气
汤显祖让我向你学习
这么梦幻没人比你浪漫
四百年的流传我只能说赞
我的世界一切越来越方便
但奇怪还是没有办法找到一种爱
我不要跟你们赛跑
因为我知道生命是个礼物不希望这一辈子
没有爱而马不停蹄好想掉进那故事里
步骤慢点儿气氛神秘柳梦梅的美梦里
汤大师带我们回去充满爱的牡丹亭

收起"
红昭愿,古风,"作曲 : 殇小谨
作词 : 荒唐客(偏生梓归)
手中雕刻生花
刀锋千转蜿蜒成画
盛名功德塔
是桥畔某处人家
春风绕过发梢红纱
刺绣赠他
眉目刚烈拟作妆嫁
轰烈流沙枕上白发
杯中酒比划
年少风雅鲜衣怒马
也不过一刹那
难免疏漏儿时檐下
莫测变化
隔却山海
转身 从容煎茶
一生长
重寄一段过往
将希冀都流放
可曾添些荒唐
才记得你的模样
一身霜
谁提笔只两行
换一隅你安康
便销得这沧桑
你还在我的心上
镜子中的她：手中雕刻生花
现实中的她：刀锋千转蜿蜒成画
镜子中的她：盛名功德塔
现实中的她：是桥畔某处人家
春风绕过发梢红纱
刺绣赠他
眉目刚烈拟作妆嫁
轰烈流沙枕上白发
杯中酒比划
年少风雅鲜衣怒马
也不过一刹那
难免疏漏儿时檐下
莫测变化
隔却山海
转身 从容煎茶
一生长
重寄一段过往
将希冀都流放
可曾添些荒唐
才记得你的模样
一身霜
谁提笔只两行
换一隅你安康
便销得这沧桑
你还在我的心上
一生长
重寄一段过往
将希冀都流放
可曾添些荒唐
才记得你的模样
一身霜
谁提笔只两行
换一隅你安康
便销得这沧桑
你还在我的心上

编曲：朱鸽
混音：殇小谨
和声编写：殇小谨
和声：殇小谨
美工：睢亦
混音室：Hot Music Studio
监制：殇小谨 李俊羽
收起"
牵丝戏,古风,"作曲 : 银临
作词 : VAGARY
银临：嘲笑谁恃美扬威 没了心如何相配
盘铃声清脆 帷幕间灯火幽微
我和你 最天生一对

没了你才算原罪 没了心才好相配
你褴褛我彩绘 并肩行过山与水
你憔悴 我替你明媚

是你吻开笔墨 染我眼角珠泪
演离合相遇悲喜为谁
他们迂回误会 我却只由你支配
问世间哪有更完美

Aki：兰花指捻红尘似水
三尺红台 万事入歌吹
唱别久悲不成悲 十分红处竟成灰
愿谁记得谁 最好的年岁

银临：你一牵我舞如飞 你一引我懂进退
苦乐都跟随 举手投足不违背
将谦卑 温柔成绝对

你错我不肯对 你懵懂我蒙昧
心火怎甘心扬汤止沸
你枯我不曾萎 你倦我也不敢累
用什么暖你一千岁

Aki：风雪依稀秋白发尾
灯火葳蕤 揉皱你眼眉
假如你舍一滴泪 假如老去我能陪
烟波里成灰 也去得完美
风雪依稀秋白发尾
灯火葳蕤 揉皱你眼眉
假如你舍一滴泪 假如老去我能陪
烟波里成灰 也去得完美

收起"
"缘分一道桥
电影《长城》片尾曲",古风,"作曲 : 王力宏
作词 : 方文山
男：
秦时明月汉时关
万里长征人未还
但使龙城飞将在
不教胡马度阴山
女：
狼烟千里乱葬岗
乱世孤魂无人访
无言苍天笔墨寒
笔刀春秋以血偿
男：
谈爱恨 不能潦草
战鼓敲啊敲
用信任 立下誓言我来熬
女：
这缘分 像一道桥
旌旗飘啊飘
你想走
就请立马抽刀
爱一笔勾销
合：
谈爱恨 不能潦草
红尘烧啊烧
以生死 无愧证明谁重要
女：
这缘分 像一道桥
故事瞧一瞧
男：
走天涯
你我卸下战袍
合：
梦回长城谣
男：
秦时明月汉时关
万里长征人未还
但使龙城飞将在
不教胡马度阴山
女：
血肉筑城万箭穿
盔甲染血映月光
远方胡笳催断肠
狼嚎骤起镇边关
谈爱恨 不能潦草
战鼓敲啊敲
用信任 立下誓言我来熬
男：
这缘份 像一道桥
旌旗飘啊飘
你想走
就请立马抽刀
爱一笔勾销
合：
谈爱恨 不能潦草
红尘烧啊烧
以生死 无愧证明谁重要
这缘分 像一道桥
故事瞧一瞧
走天涯
你我卸下战袍
梦回长城谣
这缘分 像一道桥
故事瞧一瞧
走天涯
你我卸下战袍
梦回长城谣
收起"
双人行,古风,"作曲 : 熙er
作词 : 熙er
和声编写：熙er
编曲：Polaris
Mix:db工作室
雪月风花
世人谁能拿下
雨滴答滴答
街上行人多旁话
走一步
回看你
我便觉
心窃喜
走到那一个雨亭
眼神交汇时假装看风景
公子看雨在下
不如诗酒趁年华
烟雨暗了千家
家家朽木门吱吖
荷塘翠叶漫卷
一缕暗香随遣
笛凑唇畔声入云烟深处千帆渡
转瞬回到那老街坊
谁在吟唱
扶琴曲调
油纸伞上 细雨如银毫
一拢白衣 笑的心荡漾
仍是余音袅袅
小女自是难忘（在水一方）
天色近朦胧
我想...
如今时日还早
下回再讲

雪月风花
那风景美如画
清秋已几许
巷口无人种庄稼
我停驻
你轻颦
微风过
心惬意
明明把脚步靠近
却装作的漫不经心
姑娘雨还在下
莫不能辜负韶华
烟雨暗了千家
家家朽木门枝吖
荷塘翠叶漫卷
一缕暗香随遣
笛凑唇畔声入云烟深处千帆渡
转瞬回到那老街坊
薄暮夕阳
人烟稀少
油纸伞上 细雨如银毫
俯身看到 是花容月貌
包子铺刚开张
请你去喝碗汤（姑娘偷笑）
夕阳映红脸庞
好像...
情意不够明了
惹笑姑娘
转瞬回到那老街坊
谁在吟唱
扶琴曲调
油纸伞上 细雨如银毫
一拢白衣 笑的心荡漾
我停驻
看你前行
我偷笑
你看不清
谁吟唱
轻抚琴
佳人在侧
怎会杳无音信
结良缘
胜汝情意
不知你
是否愿意
为小生
凤冠霞帔
天造地设的双人行
（喔，雨停了）
收起"
小城谣,古风,"作曲 : 胡碧乔
作词 : 赵千轻
归时恰逢故城阳春三月天
熏风摇着酒旗茶幌遮人眼
花糕盈了满坊久违的香甜
伴着孩童放纸鸢
隔街戏台上正娓娓唱风月
唱罢你情我愿到时过境迁
谁人听得曲调婉转的缠绵
感叹韶光直须怜
驻足梦中画亭边
有燕双双傍青檐
翠幕绕堤深深浅浅
恍见当年
柳叶儿弯弯拂水花儿转
水花儿转转着小船儿摇
小船儿摇摇过石桥南
石桥南她撑伞步款款
两黛罥轻烟柳叶儿弯
柳叶儿弯配着金雀儿钗
金雀儿钗不慎滑落入我怀
惹得她羞向我看

隔街戏台上正娓娓唱风月
唱罢你情我愿到时过境迁
谁人听得曲调婉转的缠绵
感叹韶光直须怜
驻足梦中画亭边
有燕双双傍青檐
翠幕绕堤深深浅浅
恍见当年
柳叶儿弯弯拂水花儿转
水花儿转转着小船儿摇
小船儿摇摇过石桥南
石桥南她撑伞步款款
两黛罥轻烟柳叶儿弯
柳叶儿弯配着金雀儿钗
金雀儿钗不慎滑落入我怀
惹得她羞向我看

柳叶儿弯弯拂水花儿转
水花儿转转着小船儿摇
小船儿摇摇过石桥南
石桥南她撑伞步款款
两黛罥轻烟柳叶儿弯
柳叶儿弯配着金雀儿钗
金雀儿钗不慎滑落入我怀
柳叶儿弯弯拂水花儿转
小船儿摇摇过石桥南
石桥南她撑伞步款款
两黛罥轻烟柳叶儿弯
金雀儿钗不慎滑落入我怀
惹得她羞向我看


收起"
身骑白马,古风,"作曲 : 徐佳莹/苏通达
作词 : 徐佳莹
我爱谁 跨不过 从来也不觉得错
自以为 抓着痛 就能往回忆里躲
偏执相信著 受诅咒的水晶球
阻挡可能心动的理由

而你却 靠近了 逼我们视线交错
原地不动 或向前走 突然在意这分钟
眼前荒沙弥漫了等候 耳边传来孱弱的呼救
追赶要我爱的不保留

我身骑白马 走三关
我改换素衣 回中原
放下西凉 没人管
我一心只想 王宝钏


而你却 靠近了 逼我们视线交错
原地不动 或向前走 突然在意这分钟
眼前荒沙弥漫了等候 耳边传来孱弱的呼救
追赶要我爱的不保留

我身骑白马 走三关
我改换素衣 回中原
放下西凉 没人管
我一心只想 王宝钏

满身伤痕累累 也来不及痛
那是指引我走向你的清楚感受
不管危不危险 都要放下一切跟你走
只要一起承担 只要你不放手

我身骑白马 走三关
我改换素衣 回中原
放下西凉 没人管
我一心只想 王宝钏

嘿~
我改换素衣 回中原
放下西凉 没人管
我一心只想 王宝钏


收起"
藏,古风,"作曲 : 徐梦圆
作词 : 温莨
编曲：徐梦圆
徐：
晚风轻轻 带着初春的凉
脸微烫 是青梅子的忧伤
听闻最近 你要前去洛阳
在心中 结一层数九寒霜
笙：
书院先生 责我心游神晃
才不是 因为你不在课堂
我也只是恰好路过你窗
捎带着 送你本诗集全唐
徐：
有歌谣赠同窗 定不要遗忘
薕霞呀苍苍 白露呀为霜
我才不是文盲 莫笑我荒唐
来不及背牢 就和你分享
笙：
蝉声清响 伴着那炎炎暑光
脸微烫 怪夏日闷热难扛
一封信笺 你说想念家乡
叮嘱我 勤勤恳恳上学堂
啦啦啦啦啦啦
徐+笙：
有一言赠同窗 你定要珍藏
举头望明月 莫要太思乡
鸿雁来来往往 才不会盼望
你信中的话 从未放心上
徐：
晚风瑟瑟 带着入秋的凉
脸微烫 是灯会焰火的光
中秋归乡 并肩将月儿赏
却没成想 碰见八个同窗
笙：
其中有个姑娘 眼睛大又亮
对你说什么 前路还漫长
怒火冲破胸膛 却行得端庄
斟酌着开嗓 她好生漂亮
徐+笙：
中庭埋下 一坛醉梨秋酿
心心念 与你举盏话衷肠
藏住不说 最是意味绵长
你偏偏 懂得我所有佯装
啦啦啦啦啦啦
徐+笙：
何不赶快邀上 大眼睛姑娘
日后路漫长 也好相扶帮
忘了我这同窗 我也将你忘
你可要听好 我从不撒谎
制作人：袁大巍
和声编写：李晓璇
和声录制：李晓璇 袁大巍
录音师：袁大巍
混音：吴澎
母带：Chris Gehringer (美国)
收起"
发如雪,古风,"作曲 : 周杰伦
作词 : 方文山
编曲：林迈可
制作人：周杰伦
合声编写：周杰伦 合声：周杰伦
录音工程：杨瑞代
录音室：ALFA STUDIO
录音工程：林迈可
混音录音室：VIP STUDIO
狼牙月 伊人憔悴
我举杯 饮尽了风雪
是谁打翻前世柜
惹尘埃是非
缘字诀 几番轮回
你锁眉 哭红颜唤不回
纵然青史已经成灰
我爱不灭
繁华如三千东流水
我只取一瓢爱了解
只恋你化身的蝶
你发如雪 凄美了离别
我焚香感动了谁
邀明月 让回忆皎洁
爱在月光下完美
你发如雪 纷飞了眼泪
我等待苍老了谁
红尘醉 微醺的岁月
我用无悔
刻永世爱你的碑
你发如雪 凄美了离别
我焚香感动了谁
邀明月 让回忆皎洁
爱在月光下完美
你发如雪 纷飞了眼泪
我等待苍老了谁
红尘醉 微醺的岁月
狼牙月 伊人憔悴
我举杯 饮尽了风雪
是谁打翻前世柜
惹尘埃是非
缘字诀 几番轮回
你锁眉 哭红颜唤不回
纵然青史已经成灰
我爱不灭
繁华如三千东流水
我只取一瓢爱了解
只恋你化身的蝶
你发如雪 凄美了离别
我焚香感动了谁
邀明月 让回忆皎洁
爱在月光下完美
你发如雪 纷飞了眼泪
我等待苍老了谁
红尘醉 微醺的岁月
我用无悔
刻永世爱你的碑
你发如雪 凄美了离别
我焚香感动了谁
邀明月 让回忆皎洁
爱在月光下完美
你发如雪 纷飞了眼泪
我等待苍老了谁
红尘醉 微醺的岁月
你发如雪 凄美了离别
我焚香感动了谁
邀明月 让回忆皎洁
爱在月光下完美
你发如雪 纷飞了眼泪
我等待苍老了谁
红尘醉 微醺的岁月
我用无悔
刻永世爱你的碑
啦儿啦啦儿啦啦儿啦儿啦
啦儿啦啦儿啦啦儿啦儿啦
铜镜映无邪扎马尾
你若撒野
今生我把酒奉陪
啦儿啦啦儿啦啦儿啦儿啦
啦儿啦啦儿啦啦儿啦儿啦
铜镜映无邪扎马尾
你若撒野
今生我把酒奉陪
收起"
下完这场雨,古风,"作曲 : 后弦
作词 : 后弦/李叔同

念旧的皮箱装着
爱没放完的烟火
我提着寂寞撑伞穿过夜色

悲伤湿透了领口
别说破且当作梅雨曾来过

雨滴下鼓槌落
伞下路退却不能
衣襟还残留那句手写的珍重
那年长亭你的背影亮了
雨中我燃一束挽歌
我在等你 等下完这场雨
满城涓涤 净此生的别离
心太入戏 梦流转四季只是回忆
手中焰火向谁泣
如果可以 别下完这场雨
放慢朝夕 拾与你的点滴
怕来不及 回眸再重温此刻如往昔

伞外朦胧可是你

那年我烟花为序
光芒逆雨而上画下故事终句
守一纸立秋的期许说好等你

远去的时光列车
满载我今生几多孤寂
夕阳西下故人长城外
顷刻间滂沱大雨浇不灭余念仍在

帷幕落秋雨霖伞下人哼泣
最后再重温那首与你送别的旋律
我在等你 等下完这场雨
满城涓涤 净此生的别离
心太入戏 梦流转四季只是回忆
手中焰火向谁泣
如果可以 别下完这场雨
放慢朝夕 拾与你的点滴
怕来不及
回眸再重温此刻如往昔
伞外朦胧可是你

长亭外 古道边
芳草碧连天

晚风拂柳笛声残
夕阳送别山外山
我在等你 等下完这场雨
满城涓涤 净此生的别离
怕来不及
回眸再重温此刻如往昔
伞外朦胧可是你
收起"
