,Song_Name,Genre,Lyrics
0,No Tears Left to Cry,Pop,"[Intro]
Right now, I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm picking it up, picking it up
I'm loving, I'm living, I'm picking it up
I'm picking it up, picking it up
I'm loving, I'm living, I'm picking it up (oh, yeah)

[Refrain]
I'm pickin' it up (yeah), pickin' it up (yeah)
I'm loving, I'm living, so we turn it up
Yeah, we turning it up

[Verse 1]
Ain't got no tears in my body
I ran out, but boy, I like it, I like it, I like it
Don't matter how, what, when, who tries it
We're out here vibin', we vibin', we vibin'

[Pre-Chorus]
Coming ou
Even when it's raining down (can't stop now)
Can't stop so shut your mouth (shut your mouth)
And if you don't know then now you know it, babe
Know it, babe, yeah

[Chorus]
Right now, I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm picking it up, picking it up (oh yeah)
I'm loving, I'm living, I'm picking it up
Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (to cry)
So I'm picking it up, picking it up (oh yeah)
I'm loving, I'm living, I'm picking it up

[Refrain]
Picking it up (yeah), picking it up (yeah)
I'm loving, I'm living, so we turn it up (we turning it up)
Yeah, we turning it up

[Verse 2]
They point out the colors in you, I see 'em too
And, boy, I like 'em, I like 'em, I like 'em
We way too fly to partake in all this hate
We're out here vibin', we vibin', we vibin'

[Pre-Chorus]
Coming out
Even when it's raining down (can't stop now)
Can't stop so shut your mouth (shut your mouth)
And if you don't know then now you know it, babe
Know it, babe, yeah

[Chorus]
Right now, I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm picking it up, picking it up (oh yeah)
I'm loving, I'm living, I'm picking it up
Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (to cry)
So I'm picking it up, picking it up (oh yeah)
I'm loving, I'm living, I'm picking it up

[Pre-Chorus]
Coming out, even when it's raining down
Can't stop now (hmm, oh), shut your mouth
Ain't got no tears left to cry
Oh yeah, oh yeah

[Chorus]
Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (cry)
So I'm picking it up, picking it up (oh yeah)
I'm loving, I'm living, I'm picking it up

[Refrain]
Pickin' it up, picking it up
I'm loving, I'm living, so we turn it up
Yeah, we turning it up"
1,FRIENDS,Pop,"[Intro: Anne-Marie]
Ooooh-oh, ooooh-woh
Ooooh-oh, ooooh-woh

[Verse 1: Anne-Marie]
You say you love me, I say you crazy
We're nothing more than friends
You're not my lover, more like a brother
I known you since we were like ten, yeah

[Refrain: Anne-Marie]
Don't mess it up, talking that shit
Only gonna push me away, that's it!
When you say you love me, that make me crazy
Here we go again

[Pre-Chorus: Anne-Marie]
Don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus: Anne-Marie]
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Verse 2: Anne-Marie]
Have you got no shame? You looking insane
Turning up at my door
It's two in the morning, the rain is pouring
Haven't we been here before?

[Refrain: Anne-Marie]
Don't mess it up, talking that shit
Only gonna push me away, that's it!
Have you got no shame? You looking insane
Here we go again

[Pre-Chorus: Anne-Marie]
So don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus: Anne-Marie]
Haven't I made it obvious? (Haven't I made it?)
Haven't I made it clear? (Haven't I made it clear?)
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear? (Haven't I?)
Want me to spell it out for you? (to spell it out for you?)
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Bridge: Anne-Marie]
F-R-I-E-N-D-S
That's how you f****** spell ""friends""
F-R-I-E-N-D-S
Get that shit inside your head
No, no, yeah, uh, ahh
F-R-I-E-N-D-S
We're just friends

[Pre-Chorus: Anne-Marie]
So don't go look at me with that look in your eye
You really ain't going nowhere without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus: Anne-Marie]
Haven't I made it obvious? (Have I not made it obvious?)
Haven't I made it clear? (Yeah, I made it very clear)
Want me to spell it out for you? (Yo)
F-R-I-E-N-D-S (I said F-R-I-E-N-D-S)
Haven't I made it obvious? (I made it very obvious)
Haven't I made it clear? (I made it very clear)
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Outro: Anne-Marie]
Mmm, ooh, ooh, ooh
Ah, ah-oh, ah-oh"
2,A Million Dreams,Pop,"[YOUNG P.T.]
I close my eyes and I can see
The world that's waiting up for me
That I call my own
Through the dark, through the door
Through where no one's been before
But it feels like home

They can say, they can say it all sounds crazy
They can say, they can say I've lost my mind
I don't care, I don't care, so call me crazy
We can live in a world that we design

'Cause every night I lie in bed
The brightest colors fill my head
A million dreams are keeping me awake
I think of what the world could be
A vision of the one I see
A million dreams is all it's gonna take
A million dreams for the world we're gonna make

There's a house we can build
Every room inside is filled
With things from far away
The special things I compile
Each one there to make you smile
On a rainy day

They can say, they can say it all sounds crazy
They can say, they can say we've lost our minds
I don't care, I don't care if they call us crazy
Runaway to a world that we design

[P.T. BARNUM]
Every night I lie  in bed
The brightest colors fill my head
A million dreams are keeping me awake
I think of what the world could be
A vision of the one I see
A million dreams is all it's gonna take
A million dreams for the world we're gonna make

[CHARITY BARNUM, with P.T. BARNUM]
However big, however small
Let me be part of it all
Share your dreams with me
You may be right, you may be wrong
But say that you'll bring me along
To the world you see
To the world I close my eyes to see
I close my eyes to see

Every night I lie in bed
The brightest colors fill my head
A million dreams are keeping me awake
A million dreams, a million dreams
I think of what the world could be
A vision of the one I see
A million dreams is all it's gonna take
A million dreams for the world we're gonna make

For the world we're gonna make"
3,Rewrite the Stars,Pop,"[Verse 1: Phillip Carlyle]
You know I want you
It's not a secret I try to hide
I know you want me
So don't keep saying our hands are tied
You claim it's not in the cards
And fate is pulling you miles away
And out of reach from me
But you're here in my heart
So who can stop me if I decide
That you're my destiny?

[Chorus 1: Phillip Carlyle]
What if we rewrite the stars?
Say you were made to be mine
Nothing could keep us apart
You'd be the one I was meant to find
It's up to you, and it's up to me
No one can say what we get to be
So why don't we rewrite the stars?
Maybe the world could be ours
Tonight

[Verse 2: Anne Wheeler]
You think it's easy
You think I don't want to run to you
But there are mountains
And there are doors that we can't walk through
I know you're wondering why
Because we're able to be
Just you and me
Within these walls
But when we go outside
You're gonna wake up and see that it was hopeless after all

[Chorus 2: Anne Wheeler]
No one can rewrite the stars
How can you say you'll be mine?
Everything keeps us apart
And I'm not the one you were meant to find
It's not up to you, it's not up to me
When everyone tells us what we can be
How can we rewrite the stars?
Say that the world can be ours
Tonight

[Post Chorus: Both, Anne Wheeler, Phillip Carlyle]
All I want is to fly with you
All I want is to fall with you
So just give me all of you
It feels impossible
It's not impossible
Is it impossible?
Say that it's possible

[Chorus 3: Phillip Carlyle and Anne Wheeler]
How do we rewrite the stars?
Say you were made to be mine?
Nothing can keep us apart
Cause you are the one I was meant to find
It's up to you, and it's up to me
No one can say what we get to be
And why don't we rewrite the stars?
Changing the world to be ours

[Outro: Anne Wheeler]
You know I want you
It's not a secret I try to hide
But I can't have you
We're bound to break and
My hands are tied"
4,Te Boté (Remix),Pop,no lyrics
5,The Middle,Pop,"[Verse 1: Maren Morris]
Take a seat
Right over there, sat on the stairs
Stay or leave
The cabinets are bare, and I'm unaware
Of just how we got into this mess, got so aggressive
I know we meant all good intentions

[Pre-Chorus: Maren Morris]
So pull me closer
Why don't you pull me close?
Why don't you come on over?
I can't just let you go

[Chorus: Maren Morris]
Oh baby, why don't you just meet me in the middle?
I'm losing my mind just a little
So why don't you just meet me in the middle?
In the middle
Baby, why don't you just meet me in the middle?
I'm losing my mind just a little
So why don't you just meet me in the middle?
In the middle

[Verse 2: Maren Morris]
Ohh, take a step
Back for a minute, into the kitchen
Floors are wet
And taps are still running, dishes are broken
How did we get into this mess? Got so aggressive
I know we meant all good intentions

[Pre-Chorus: Maren Morris]
So pull me closer
Why don't you pull me close
Why don't you come on over
I can't just let you go

[Chorus: Maren Morris]
Oh baby, why don't you just meet me in the middle?
I'm losing my mind just a little
So why don't you just meet me in the middle?
In the middle

[Bridge: Maren Morris]
Looking at you, I can't lie
Just pouring out admission
Regardless of my objection
And it's not about my pride
I need you on my skin
Just come over, pull me in, just

[Chorus: Maren Morris]
Oh, baby, why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle?
In the middle, no no
Baby, why don't you just meet me in the middle?
Oh yeah, I'm losing my mind just a little
So why don't you just meet me in the middle?
Oh, in the middle
Baby-y-y, why don't you just meet me in the middle, baby?
I'm losing my mind just a little
So why don't you just meet me in the middle, middle?
In the middle, middle"
6,Be Careful,Pop,"[Intro]
Yeah
Care for me, care for me, care for me, uh
Yeah, look

[Verse 1]
I wanna get married, like the Currys, Steph and Ayesha shit
But we more like Belly—Tommy and Keisha shit
Gave you TLC, you wanna creep and shit
Poured out my whole heart to a piece of shit
Man, I thought you would've learned your lesson
'Bout likin' pictures, not returnin' texts
I guess it's fine, man, I get the message
You still stutter after certain questions
You keep in contact with certain exes
Do you, though, trust me, nigga, it's cool, though
Said that you was workin', but you out here chasin' culo
And putas, chillin' poolside, livin' two lives
I could've did what you did to me to you a few times
But if I did decide to slide, find a nigga
Fuck him, suck his dick, you would've been pissed
But that's not my M.O., I'm not that type of bitch
And karma for you is gon' be who you end up with
You make me sick, nigga

[Chorus]
The only man, baby, I adore
I gave you everything, what's mine is yours
I want you to live your life of course
But I hope you get what you dyin' for
Be careful with me, do you know what you doin'?
Whose feelings that you're hurtin' and bruisin'?
You gon' gain the whole world
But is it worth the girl that you're losin'?
Be careful with me
Yeah, it's not a threat, it's a warnin'
Be careful with me
Yeah, my heart is like a package with a fragile label on it
Be careful with me

[Bridge]
Care for me, care for me
Always said that you'd be there for me, there for me
Boy, you better treat me carefully, carefully, look

[Verse 2]
I was here before all of this
Guess you actin' out now, you got an audience
Tell me where your mind is, drop a pin, what's the coordinates?
You might have a fortune, but you lose me, you still gon' be misfortunate, nigga
Tell me, this love's got you this fucked up in the head
You want some random bitch up in your bed?
She don't even know your middle name, watch her 'cause she might steal your chain
You don't want someone who loves you instead? I guess not though
It's blatant disrespect, you nothin' like the nigga I met
Talk to me crazy and you quick to forget
You even got me trippin', you got me lookin' in the mirror different
Thinkin' I'm flawed because you inconsistent
Between a rock and a hard place, the mud and the dirt
It's gon' hurt me to hate you, but lovin' you's worse
It all stops so abrupt, we started switchin' it up
Teach me to be like you so I can not give a fuck
Free to mess with someone else, I wish these feelings could melt
'Cause you don't care about a thing except your mothafuckin' self
You make me sick, nigga

[Chorus]
The only man, baby, I adore
I gave you everything, what's mine is yours
I want you to live your life of course
But I hope you get what you dyin' for
Be careful with me, do you know what you doin'?
Whose feelings that you're hurtin' and bruisin'?
You gon' gain the whole world
But is it worth the girl that you're losin'?
Be careful with me
Yeah, it's not a threat, it's a warnin'
Be careful with me
Yeah, my heart is like a package with a fragile label on it
Be careful with me"
7,One Kiss,Pop,"[Chorus]
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need

[Verse 1]
Let me take the night, I love real easy
And I know that you'll still wanna see me
On the Sunday morning, music real loud
Let me love you while the moon is still out

[Pre-Chorus]
Something in you lit up heaven in me
The feeling won't let me sleep
'Cause I'm lost in the way you move, the way you feel

[Chorus]
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need

[Post-Chorus]
One
One
One
One

[Verse 2]
I just wanna feel your skin on mine
Feel your eyes do the exploring
Passion in the message when you smile
Take my time

[Pre-Chorus]
Something in you lit up heaven in me
The feeling won't let me sleep
'Cause I'm lost in the way you move, the way you feel

[Chorus]
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need

[Post-Chorus]
One
One
One
One

[Bridge]
See a wonderland in your eyes
Might need your company tonight

[Pre-Chorus]
Something in you lit up heaven in me
The feeling won't let me sleep
'Cause I'm lost in the way you move, the way you feel

[Chorus]
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need

[Post-Chorus]
One
One
One
One"
8,​lovely,Pop,"[Verse 1: Billie Eilish & Khalid]
Thought I found a way
Thought I found a way out (found)
But you never go away (never go away)
So I guess I gotta stay now

[Pre-Chorus: Billie Eilish & Khalid]
Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear

[Chorus: Billie Eilish with Khalid]
Isn't it lovely, all alone
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

[Verse 2: Khalid with Billie Eilish]
Walking out of time
Looking for a better place (looking for a better place)
Something's on my mind
Always in my head space

[Pre-Chorus: Billie Eilish & Khalid]
But I know someday I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive outside I can't fight my fear

[Chorus: Billie Eilish with Khalid]
Isn't it lovely, all alone
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

[Outro: Khalid, Billie Eilish, Khalid & Billie Eilish]
Woah, yeah
Yeah, ah
Woah, woah
Hello, welcome home"
9,SAD!,Pop,"[Intro]
(Yeah)

[Chorus]
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah

[Verse]
I gave her everything
She took my heart and left me lonely
I think broken heart's contagious
I won't fix, I'd rather weep
I'm lost then I'm found
But it's torture bein' in love
I love when you're around
But I fuckin' hate when you leave

[Chorus]
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah"
