,Artist,Lyrics,Song
0,twenty one pilots,"['[Chorus]', ""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse\nAll my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", 'Welcome to the room of people\nWho have rooms of people that they loved one day', ""Locked away\nJust because we check the guns at the door\nDoesn't mean our brains will change from hand grenades"", ""You're loving on the psychopath sitting next to you\nYou're loving on the murderer sitting next to you"", 'You\'ll think, “How\'d I get here, sitting next to you?""', ""But after all I've said, please don't forget"", '[Chorus]', ""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", ""We don't deal with outsiders very well\nThey say newcomers have a certain smell\nYou have trust issues, not to mention\nThey say they can smell your intentions"", 'You\'re loving on the freakshow sitting next to you\nYou\'ll have some weird people sitting next to you\nYou\'ll think “How did I get here, sitting next to you?""', ""But after all I've said, please don't forget"", '(Watch it, watch it)', '[Chorus]', ""All my friends are heathens, take it slow\nWait for them to ask you who you know\nPlease don't make any sudden moves\nYou don't know the half of the abuse"", 'All my friends are heathens, take it slow', '(Watch it)', 'Wait for them to ask you who you know', '(Watch it)', 'Please all my friends are heathens, take it slow', '(Watch it)', 'Wait for them to ask you who you know', ""Why'd you come? You knew you should have stayed\n(It's blasphemy)"", ""I tried to warn you just to stay away\n(Away)\nAnd now they're outside ready to bust\n(To bust)\nIt looks like you might be one of us""]",Heathens
1,X Ambassadors,"[""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady\nHold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady"", ""Daddy, I'm alone\n'Cause this house don't feel like home"", ""If you love me, don't let go, woah\nIf you love me, don't let go"", ""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady\nHold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady"", ""Mother, I know\nThat you're tired of being alone"", ""Dad, I know you're trying\nTo fight when you feel like flying"", ""But if you love me, don't let go, woah\nIf you love me, don't let go"", ""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady\nHold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady"", ""Hold, hold on, hold on to me\n'Cause I'm a little unsteady, a little unsteady""]",Unsteady
2,twenty one pilots,"[""I just wanna stay in the sun where I find\nI know it's hard sometimes\nPieces of peace in the sun's peace of mind\nI know it's hard sometimes"", ""Yeah I think about the end just way too much\nBut it's fun to fantasize"", ""On my enemies I wouldn't wish who I was\nBut it's fun to fantasize"", ""Oh Oh Ohhh Oh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nOh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nTaking my time on my ride"", '""I\'d die for you,"" that\'s easy to say', 'We have a list of people that we would take\nA bullet for them, a bullet for you\nA bullet for everybody in this room', ""But I don't seem to see many bullets coming through\nSee many bullets coming through\nMetaphorically I'm the man\nBut literally I don't know what I'd do"", '""I\'d live for you,"" and that\'s hard to do\nEven harder to say when you know it\'s not true\nEven harder to write when you know that tonight', 'There were people back home who tried talking to you\nBut then you ignore them still', 'All these questions they’re for real\nLike who would you live for? Who would you die for?', 'And would you ever kill?', ""Oh Oh Ohhh Oh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nOh Oh Ohhh I'm falling\nSo I'm taking my time on my ride\nTaking my time on my ride"", ""I've been thinking too much\nI've been thinking too much\nI've been thinking too much\nI've been thinking too much\nHelp me\nI've been thinking too much\n(I've been thinking too much)\nI've been thinking too much\nHelp me\nI've been thinking too much\n(I've been thinking too much)\nI've been thinking too much"", ""Oh Oh Ohh Oh Oh Ohh I'm falling\nSo I'm taking my time on my ride Oh Oh Ohh\nI'm falling so I'm taking my time\nTaking my time on my ride woah oh oh"", ""Oh Oh Ohh Oh Oh Ohh I'm falling\nSo I'm taking my time on my ride Oh Oh Ohh\nI'm falling so I'm taking my time on my"", 'I’ve been thinking too much\nHelp me\nI’ve been thinking too much\nHelp me\nI’ve been thinking too much\nI’ve been thinking too much\nI’ve been thinking too much\nHelp me\nI’ve been thinking too much\nI’ve been thinking too much\nI’ve been thinking too much\nHelp me']",Ride
3,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors","['Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker for Pain with Logic & Ty Dolla $ign feat. X Ambassadors', 'Matoma - False Alarm feat. Becky Hill', 'Troye Sivan - WILD feat. Alessia Cara', 'Fletcher - Avalanche', 'FRENSHIP - Carpet', 'Broods - We Had Everything', 'NEIKED - Sexual', 'Cash Cash - Turn feat. Little Daylight', 'Imad Royal - Bad 4 U feat. Blaise Railey', 'Palmistry - Lifted', 'Ofelia K - I Love My Lawyer', 'The Hunna - Bonfire', 'Dorothy - Missile', 'Blink-182 - No Future', 'Oliver Nelson - Changes feat. River', 'Dizzee Rascal & Calvin Harris - Hype', 'Era Istrefi - Bonbon', 'Adele - Remedy', 'Wrabel - 11 Blocks', 'MAGIC! - Red Dress', 'Pretty Sister - West Coast', 'Brandyn Burnette - Underneath (Remix)', 'Cierra Ramirez - Faded feat. Casey Veggies & Honey C', 'Logic - Wrist feat. Pusha T', 'Miguel - The Thrill (Live from Spotify SXSW 2016)', 'Maxwell - Gods', ""Airplane Man - We're on Fire"", 'Gucci Mane - All My Children', 'Steve Aoki - How Else feat. ILoveMakonnen & Rich The Kid', 'Vicetone - Nevada feat. Cozi ZuehlsdoFrff', ""Khalid - Let's Go"", 'LANY - like you lots', 'Yellowcard - Rest In Peace', 'Broods - Are You Home', 'Dive In - Rush of the Night', 'Colony House - You Know It', 'Butch Walker - Stay Gold', 'The Tallest Man On Earth - Time of the Blue', 'Cyndi Lauper - Time After Time', 'The Avett Brothers - No Hard Feelings', 'Sigur Rós - Óveður', 'DREAMERS - Sweet Disaster', 'Cymbals Eat Guitars - 4th of July, Philadelphia (SANDY)', 'Demo Taped - Not Enough', 'DJ Shadow - The Sideshow feat. Ernie Fresh', 'Dreezy - Close to You feat. T-Pain', 'LEO ISLO - Blame', 'Hannah Georgas - Waste', 'Ferras - Closer', 'Sälen - Diseasey', 'KAYE - Honey', 'Marian Hill - Talk to Me', 'Venus and the Moon - Marry Me', 'Shovels & Rope - I Know', 'Motionless In White - 570', 'Heavy Hearts - Bliss']",Sucker For Pain
4,Fitz And The Tantrums,"[""You're like a drug to me, a luxury, my sugar and gold"", 'I get on my knees and say a prayer: James Brown', 'Fear no conviction, grapes of wrath can only sweeten your wine', 'I get on my knees and say a prayer: James Brown']",HandClap
5,Coldplay,"['And said drink from me, drink from me\n(Oh-ah-oh-ah)\nThat we shoot across the sky\nSymphony\nThat we shoot across the sky\nPour on a...\nDrink from me, drink from me\n(Oh-ah-oh-ah)\nThat we shoot across the sky\nSymphony\n(So high, so high)\nThat we shoot across the sky', 'Oh, angel sent from up above\nYou know you make my world light up\nWhen I was down, when I was hurt\nYou came to lift me up', ""Life is a drink and love's a drug\nOh now I think I must be miles up"", 'When I was a river dried up\nYou came to rain a flood', ""You said drink from me, drink from me\nWhen I was so thirsty\nPoured on a symphony\nNow I just can't get enough\nPut your wings on me, wings on me\nWhen I was so heavy\nPoured on symphony\nWhen I'm low, low, low, low"", 'I-Oh-I-Oh-I\nGot me feeling drunk and high\nSo high, so high\nOh-I-Oh-I-Oh-I\nNow I’m feeling drunk and high\nSo high, so high\n(Woo)\n(Woo-ooo-ooo-woo)', ""Oh, angel sent from up above\nI feel you coursing through my blood\nLife is a drink and your love's about\nTo make the stars come out"", ""Put your wings on me, wings on me\nWhen I was so heavy\nPoured on symphony\nWhen I'm low, low, low, low"", 'I-Oh-I-Oh-I\nGot me feeling drunk and high\nSo high, so high\nOh-I-Oh-I-Oh-I\nI’m feeling drunk and high\nSo high, so high', ""I-Oh-I-Oh-I\nLa, la, la, la, la, la, la\nSo high, so high\nI-Oh-I-Oh-I\nNow I'm feeling drunk and high\nSo high, so high""]",Hymn For The Weekend
6,Kaleo,"['Oh father, tell me, do we get what we deserve?\nOh we get what we deserve', 'And way down we go-o-o-o-o\nWay down we go-o-o-o-o\nSay way down we go\nWay down we go', 'Oh you let your feet run wild\nTime has come as we all oh, go down', 'Yeah but for the fall oh, my\nDo you dare to look him right in the eyes?', ""'Cause they will run you down, down til the dark\nYes and they will run you down, down til you fall\nAnd they will run you down, down til you go\nYeah so you can't crawl no more"", 'And way down we go-o-o-o-o\nOh way down we go\nSay way down we go', ""'Cause they will run you down, down 'til you fall\nWay down we go"", 'Uhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUh uhhhh uh\nUhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUh uhhhh\n\nOh bab-bab-yeah\nWow baby-a-aha\nBaby ooo\nBab, down we go\nYeah']",Way Down We Go
7,The Lumineers,"[""Ah, ah, when I was younger\nI, I should've known better\nAnd I can't feel no remorse\nAnd you don't feel nothing back"", ""(Ah, ah!) got a new girlfriend\nHe feels like he's on top"", ""And I don't feel no remorse\nAnd you can't see past my blindness"", ""Oh, Ophelia\nYou've been on my mind, girl, since the flood\nOh, Ophelia\nHeaven help the fool who falls in love"", 'I, I got a little paycheck\nYou got big plans and you gotta move (whoo!)', ""And I don't feel nothing at all\nAnd you can't feel nothing small"", ""Honey, I love you\nThat's all she wrote"", ""Oh, Ophelia\nYou've been on my mind, girl, like a drug"", 'Oh, Ophelia\nHeaven help the fool who falls in love', 'Oh, Ophelia', ""You've been on my mind, girl, since the flood\nOh, Ophelia\nHeaven help the fool who falls in love\nOh, Ophelia"", ""You've been on my mind, girl, like a drug"", 'Oh, Ophelia', 'Heaven help the fool who falls in love']",Ophelia
8,OK Go,"[""And entropy's cruel hands""]",The One Moment
9,Judah & The Lion,"[""But I'd take it all back, take it all back, take it all back\nI'd take it all back just to have you\nYou know I'd take it all back, take it all back, take it all back\nI'd take it all back just to have you""]",Take It All Back
