,Artist,Lyrics,Song,genre
0,Desiigner,This waitin fornI guess sonThey waitin shit long time theynIma give everythin I gotnAyo Dougie park X6 around cornernAyy Im feelin vibe right nownIm feelin myself Panda PandanPanda Panda Panda Panda Panda I got broads AtlantanTwistin dope lean Fanta Credit cards scammersnHittin licks bando Black X6 PhantomnWhite X6 look like panda Goin like Im MontananHundred killas hundred hammers Black X6 PhantomnWhite X6 panda Pockets swole Danny Sellin bar candy Man Im macho like Randy The choppa go Oscar Grammy Bitch nigga pull ya panty Hope killas understand me I got broads AtlantanTwistin dope lean Fanta Credit cards scammersnHittin licks bando Black X6 PhantomnWhite X6 look like panda Goin like Im MontananHundred killas hundred hammers Black X6 PhantomnWhite X6 panda Pockets swole Danny Sellin bar candy Man Im macho like Randy The choppa go Oscar Grammy Bitch nigga pull ya panty HeynPanda PandanPanda Panda Panda Panda Panda Panda Panda Panda I got broads AtlantanTwistin dope lean shit sippin Fanta Credit cards scammersnWake Versace shit life Desiigner Whole bunch lavish shitnThey askin round town clappin shit I pullin stuff Phantom shipnI got plenty stuff Bugatti whip look I drive shit Black X6 PhantomnWhite X6 killin camera Pop Perc I cant stand up Gorilla come kill bananas Four fillas finna pull PhantomnKnow niggas come kill camera Big Rollie dancin bigger Pandie Go Oscar Grammy bitch pull ya panty Fill Ima flip it I got bitches pull get it I got niggas thats countin digits Say make lot new money Know killas pull Wraith CTD pull killa Bape Call PhillipPhillip gon fill bank Niggas bank gon drill banknFuck gon kill bank get it I got broads yea I get it I get cards yea I shittednThis I live it Did ticket Now Flex drop bombs spin it And Bobby gon trend it Jeff The Don doin business Zana Ray fuckin shit doin business I gettin chickennCountin chickennAnd niggas gon split it Panda PandanPanda Panda Panda Panda Panda I got broads AtlantanTwistin dope lean Fanta Credit cards scammersnHittin licks bando Black X6 PhantomnWhite X6 look like panda Goin like Im MontananHundred killas hundred hammers Black X6 PhantomnWhite X6 panda Pockets swole Danny Sellin bar candy Man Im macho like Randy The choppa go Oscar Grammy Bitch nigga pull ya panty I got broads AtlantanTwistin dope lean Fanta Credit cards scammersnHittin licks bando Black X6 PhantomnWhite X6 look like panda Goin like Im MontananHundred killas hundred hammers Black X6 PhantomnWhite X6 panda Pockets swole Danny Sellin bar candy Man Im macho like Randy The choppa go Oscar Grammy Bitch nigga pull ya panty Panda PandanPanda Panda Panda Panda Panda Produced Menace,Panda,rap
1,Kent Jones,PreChorus Keep telling telling thatnYou said take you Ill never go backnNow I got lesson I want teachnIma show dont matter me She said Hola Cómo estás said KonnichiwanShe said Pardon French I said Bonjour MadamenThen said Sak pase I said Nap boulenNo matter I go know I love em allnShe said Hola Cómo estás said KonnichiwanShe said Pardon French I said Bonjour MadamenThen said Sak pase I said Nap boulenNo matter I go know I love em all African American shonI told her Baby come ride rodeonEvery time I come around man I go broke She gives desktop til I overload Now baby gon go pos gonCause I aint got time every daynShe said got man keep lownI said dont speak English fuck gon say aye PreChorus Telling telling thatnYou said take you Ill never go backnNow I got lesson I want teach yanIma show dont matter me She said Hola Cómo estás said KonnichiwanShe said Pardon French I said Bonjour MadamenThen said Sak pase I said Nap boulenNo matter I go know I love em allnShe said Hola Cómo estás said KonnichiwanShe said Pardon French I said Bonjour MadamenThen said Sak pase I said Nap boulenNo matter I go know I love em all She Africa fucks like HaitiannAss black eyes looking Asian I give KansasnI got tape Candid CameranOkay see I forgot met Oklahoma I use smoke Regina ArizonanThen I met girl Cali I never disowned hernShe got high grade weed come diplomasnI want keep PreHook Telling telling thatnYou said take you Ill never go backnNow I got lesson I want teach yanIma show dont matter me She said Hola Cómo estás said KonnichiwanShe said Pardon French I said Bonjour MadamenThen said Sak pase I said Nap boulenNo matter I go know I love em allnShe said Hola Cómo estás said KonnichiwanShe said Pardon French I said Bonjour MadamenThen said Sak pase I said Nap boulenNo matter I go know I love em all Produced Kent Jones We The Best,Don't Mind,rap
2,DJ Khaled Featuring Drake,Would fuck free Another onenWe Best Music Major Key DJ Khaled I go onnCant understand I last longnI must superpowersnLast 223 thousand hours And cause Im CCnAnd Im Hennessy And like boy Compton saidnYou know dick aint free I got girls I shoulda made pay itnGot girls I shoulda made wait it Got girls cancel flight back homenStay another day it You got attitude na nanAnd pussy aguanAnd stomach flat flatnAnd ass whats that And yeah I need right nownLast year I drama girl right now I never gon chat talkin aboutnYou one I know could fit her man I always wonder ask yourselfnIs menIs menOr sex good I fuck freenIs menIs menOr sex good I to 2 Drake Fuck freenI know workin day night get college degreenBet nobody even know freak rightnYou know me rightnYeah double checkin younYou know I never put pressure younYou know make mind upnYou knew signed up Now gotta run upnI words tryna sum upnGirl throw back like one love Even though hood Im still pullin upnDip dip straight doorstep This real thing feel force yet I always wonder ask yourselfnIs menIs menOr sex good I fuck freenIs menYeah menIs sex good I to Would fuck free Another one They want another anthemnSo I made sure I got another anthem Its We The Best OVO Summers oursnIt always been Dont ever play yourself One time Future PrincenOne time 40nOne time Drake Another one Bless up,For Free,rap
3,Future Featuring The Weeknd,High high get get gettin high everybody gettin highnGet get get gettin high unbelievably high I took molly else HeynGot bitch Follies us scuse me scuse menShe gon fuck squad else I swearnIma fuck broads else Get getnBitch Pakistan up ForeignnFerraris Lambs else skrrrtnBout fuck club up else Get get Metro Boomin wants more nigga 1 The Weeknd I turn Ritz poor housenIts like eviction number four now Go head ash floor nownGirl go head show go downnAnd I feel whole body peakinnAnd Im fuckin anybody legs wide Gettin faded bitches West SidenEast coast nigga reppin North Side Never waste hos time FreebandsnBitch Im timenFuck nigga cosign Always change number phone linenBaby girl I lie Used money cribnNow room service bill cost whole life If try stunt me I go militarynIm camoed out like Im military I free niggas locked penitentiary Cause Im always reppin low lifenReppin low life turn upnLow life low life low lifenKnow Im reppin low low lifenRepresentin Im representin representinnSaid Im reppin low lifenLow life low life low life low lifenIm representin low lifenSaid Im repping low lifenIm reppin thats reppin Im reppinnLow life low life low lifenRep rep rep rep rep rep repnWoo woo woo woonYeah 2 Future Wake take sip Ace Spade like water I molly Xans daughter If catch cheating I never tell sorrynIf catch cheating I never tell sorry Porsches valet I got Bentleys I got Raris Taking pain pills plane gettin chartered Poppin tags tags I starvin Bitch I got juice carbine Turn five star hotel traphousenRoaches everywhere like forgot take trash out Flood cross ice gettin money religion Got baby momma side bitch kissinnI turn Ritz lean house This sixth time gettin kicked outnI cant feel face Im Adderall nauseous Niggas tryna ride fuckin wave salty Runnin wave get killed quicknShoot back like Ricky Lil Mexico life afterlifenMy whole life whole life Cause Im always reppin low lifenLow life low life low lifenKnow Im reppin low low lifenRepresentin Im representin representinnSaid Im reppin low lifenLow life low life low life low lifenIm representin low lifenSaid Im reppin low lifenLow life Im reppin low lifenLow life low life low lifenRep rep rep rep rep rep rep woonYeah Yeah stereotypinnCause know nigga keep ten riflesnAnd know nigga keep ten snipersnKeep baby bottle like wearin diapersnYeah stereotypinnCause know nigga keep twenty riflesnAnd know nigga keep twenty snipersnAnd know nigga keep ten wifeysnSniper sniper sniper sniper sniper Wifey wifey wifey wifey wifeynThats wifey wifey wifey wifey wifeynI think I like her like her like her like hernThats wifey wifey wifey wifey wifeynI think I like her like her like her like hernOh thats wifey wifey wifey wifey wifeynI think I like her like her like her like her Getting high getting high getting highnEverybody getting highnGetting high getting high getting highnEverybody getting highnGetting high getting high getting highnEverybody getting highnGetting high getting high getting highnAnd Im reason whynGetting high getting high getting highnEverybody getting highnGetting high getting high getting highnEverybody getting highnGetting high getting high getting highnEverybody getting highnGetting high getting high getting highnAnd Im reason why I took molly elsenGot bitch Follies usnShe gonna fuck squad elsenIma fuck broads elsenBitch Pakistan upnFerraris Lambs elsenBout fuck club elsenBout fuck club else,Low Life,rap
4,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",Nothin stop me Im way upnAll way upnIm way upnIm way upnNothin stop me Im way up Bridge French Montana InfaRed Shorty want Shorty neednMy niggas run game aint ever leavinnCountin money aint never sleepin You got V12 I got 12 Vs Got bottles got weed got molly Im way upnShorty want I got neednShorty want I got neednShorty want I got need Im way upnIm way upnIm way upnAll way upnNothin stop me Im way up For niggas Bentley coupes RolexesnKicked bitch room gave breakfast Had stash jewels bitches reckless Keep hoes cruise Im talkin naughty nothingsnShorty uptown showin new things Couldnt take I gave un chin She call top shotta yeah I keep tings Champion sound yeah I got rings And Im way upnAnd stay up And ask anybody I livenTheyll point hills saynGo way upnGo way up Im way upnIm way upnNothin stop me Im way up Just left big house bigger house Aint girlfriend bitch out Chanel croc bag shit aint even outnWith gold chains Himalayan Birkin cocaine Lit up Pac shit I hit em up Im talkin color money purple yen blue dirhamnI got brown lira I aint talkin bout Ross bitch Im nigga Viagra dicknThat means Im way upnAnd stay upnPOs say I cant get highnHopped helicopter Uber saidnGo way upnGo way up Im way upnIm way upnNothin stop me Im way up Shorty want Shorty neednMy niggas run game aint ever leavinnCountin money aint never sleepin You got V12 I got 12 Vs Got bottles got weed got molly Im way upnShorty want I got neednShorty want I got neednShorty want I got need Im way upnIm way upnIm way upnIm way upnNothin stop me Im way upnAll way upnIm way upnIm way upnNothin stop me Im way up,All The Way Up,rap
5,G-Eazy x Bebe Rexha,Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got life YeahnOh I need hand holdnEven night coldnI got fire soul 1 GEazy And far I see I need privacynPlus whole lot tree fuck modesty I need space menGive world theyre tryna see A Stella Maxwell right beside menA Ferrari Im buyin threenA closet Saint Laurent get I want I want Cause hunger drivin me yeahnI need alone I need home Understand Im speakin onnIf time money I need loannBut regardless Ill always keep keepin on Fuck fake friendsnWe take Ls make Ms While yall follow make trendsnIm right back work break ends Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got lifenGot life yeahnOh I need hand holdnEven night coldnI got fire soul PostHook Bebe Rexha GEazy I need anything get nightnExcept beat thats heartnYeah keepin alive Keeps alivenI need anything make satisfied You knownCause music goodnAnd gets every time Yeah 2 GEazy Yeah I dont like talkin strangersnSo get fuck me Im anxiousnIm tryna cool I may go ape shitnSay Fuck yall yall faces It changes though Im famousnEveryone knows lifestyle dangerousnBut I love it rush amazinnCelebrate nightly everyone rages I found cope angersnIm swimmin moneynSwimmin liquor liver muddynBut good Im still sippin bubbly This shit lovely shit aint random I get luckynMade right cause Im sick it cuddy They take money grantednBut want work ittell now funny Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got lifenOh I need hand holdnEven night coldnI got fire soul PostHook Bebe Rexha GEazy I need anything get nightnExcept beat thats heartnYeah keepin alivenI need anything make satisfiednCause music fills goodnAnd gets every time Bridge Bebe Rexha GEazy Like babababadabanBababadaba YeahnBabababadabanBababadabanBabababadabanBababadabanCause music fills goodnAnd gets every time 3 GEazy Yeah lonely nights I laid awakenPray Lord soul take My hearts become cold break Know Im great Im broke hellnHavin dreams Im foldin cake All life Ive told waitnBut Ima get now yeah debatenYeah Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got lifenGot life yeahnOh I need hand holdnEven night coldnI got fire soul PostHook Bebe Rexha GEazy I need anything get nightnExcept beat thats heartnAnd keepin alive Keeps alivenI need anything make satisfied You knownCause music fills goodnAnd gets every time Bridge Bebe Rexha Like babababadabanBababadabanBabababadabanBababadabanBabababadabanBababadabanCause music fills goodnAnd gets every time Produced By Michael Keenan Music Video,"Me, Myself & I",rap
6,Drake Featuring Rihanna,LookI know talk younI know ask okay My friends always feel need tell thingsnSeems like theyre happier us days Yeah days I know talk younI know need menIt feels like time see menIs turn head side look differently Yeah last night I think I lost patiencenLast night I got high expectationsnLast night I came realizationnAnd I hope take itnI hope take it Im good younIm way good younYou take love grantednI understand itnNo Im good younIm way good younYou take love grantednI understand it I know talk younI know I found getting lost you Lately make work hard you Got flights overseas I still cant get across you And last night I think I lost patiencenLast night I got high expectationsnLast night I came realizationnAnd I hope take itnI hope take it Im good younIm way good younYou take love grantednI understand itnNo Im good younIm way good younYou take love grantednI understand it Years go fastnI cant keep tracknHow long lastnI feel bad askingnIt cant end like thisnWe gotta take time this Cock yuh bumper sit pon itnLet see something I fix You got somebody menDont play victim menFree time costing seemsnSacrificing things And I wanna tell intentionsnI wanna things I mentionnI wanna benefit friendshipnI wanna get late night message you you I put hands around younGotta get handle younGotta get handle fact that Im good younIm way good younYou take love grantednI understand itnNo Im good younIm way good younYou take love grantednI understand it Outro Popcaan Gyal mi waannPay fi yuh visa meck yo fly regularnBaby cock yuh bumper sit pon itnGyal yo pum pum good yuh fitnMi wi give everything weh deh walletnAnd pocketnCock yuh bumper sit pon itnGyal yo pum pum good yuh fitnMi wi give everything weh deh walletnAnd pocket,Too Good,rap
7,O.T. Genasis Featuring Young Dolph,Cut it cut it cut it cut itnCut it cut it cut it cut itnThem bricks way hot need cut itnYour price way high need cut itnCut it cut it cut it cut itnCut it cut it cut it cut itnThem bricks way hot need cut itnYour price way high need cut it Run bands regular hittin plug cellular Tell ex bitch Im sorry Imma skate Rari Keep 36 side Imma go bake pienKeep 45 side fuck niggas die All niggas say blood niggas say cuh Keep hundred bull I fell love drugs Water whippin lookin like Im fishin Baseball kitchen arm Im pitchin Rolie on glistenin darling kissin Niggas steady trippin Im steady grippin Cut it cut it cut it cut itnCut it cut it cut it cut itnThem bricks way hot need cut itnYour price way high need cut itnCut it cut it cut it cut itnCut it cut it cut it cut itnThem bricks way hot need cut itnYour price way high need cut it Went bought 911 trap moneynA million still aint never touch rap money Im LA fuckin boy OTnFlew LA got plug OG You know Ive gettin money know menWhen I first met plug I told him I piss hundred Gs I aint comin get unless got hundred piece I want it fuck it price need cut it Your ice need tuck it fuck me lucky A half million 20s Gucci luggage Lets skip small talk time talk numbers Young nigga playin commas might go get Lamb summer My nigga beefin Im beefin wrong right Im bustin Put Forgis old school I gut itnBut I put roof in Cut it cut it cut it cut itnCut it cut it cut it cut itnThem bricks way hot need cut itnYour price way high need cut itnCut it cut it cut it cut itnCut it cut it cut it cut itnThem bricks way hot need cut itnYour price way high need cut it,Cut It,rap
8,Kevin Gates,Hello What deal Bet I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin Button start foreign oh God Im gorgeousnI put key inside pocketnPark it might get see it new Ferrari Man mirror choose bother Someone said callin I feel like talkinnEverything I get returned way I bought it Phone interrupting Im recordinnPhone making women feel unimportant Call dog say way retardednKeep oil cause I using ForemannKitchen I finished new performance Hater wish wellnI got clientelenI got scale I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin There go again one lil friendsnThey give damn nigga beennAll wanna know I got givenHow much I spend What I got lendnWhat I I them Bricks comin somewhere rim Section doin numbers nowhere gym Jumpin Honda I got in Askin I cop none concern Everything sale goin biz Partners jail gotta feed kids I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin Getting calling cards Barbie dollnWhen round know Im bodyguard Money callin me baby girl Im sorrynYou high yella important Smell like tartar Imma put water Engagin Im gazin hipsnAnd aint nobody makin attemptsnAmazing clip hanging slanging dicknMaybe make takin tripsnMaybe I thinkin impatientnPhone ringing hold up is I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin I got two phones one plug one load I got two phones one bitches one dough Think I need two more line bumpin Im ring ring ringinnCountin money ring ring ringinnTrap jumpin Im ring ring ringin,2 Phones,rap
9,Drake Featuring The Throne,Dropped outta school dumb rich dumb rich This sound like fortythreeohone shit one shit All niggas wanna pop style pop style Turn birthday lifestyle lifestyle Tell mom I love I make do make it Got many chains call Chaining Tatum they do do And I like finish think startednMan boys got Hollywood boys startednYou know started All I hang young heartless All family man I try hardestnIts I ever look got him Yeah mind latelynYouve still got number girl need call me I feel like wanna see learn hard waynBut know I always handle one way Girl let rock rock rock rock rock bodynJustin Timberlake I hit highway I cant trust fuckin bodynThey still get cause never got me 2 They still get me I get itnI got thats given Give real nigga number onenEven though I got like twentyone Cannot Im oneofonenSchooling ass like 101 They tryna slide menThey telling lies me Everybody looking themselfnBut still got eyes me See putting hard work now ayenMomma call work now ayenI decide I start work now aye Problems hit gym work out MVP MVP ohnine way sixteennEven next season looking like breezenLot yall aint built league yeah Trade team sleep yeahnYall showed nothings guaranteednAnd know started My friends chain big look like artist I cant trust fuckin bodynThey still get cause never got me Dropped outta school dumb rich dumb rich This sound like fortythreeohone shit one shit All niggas wanna pop style pop style Turn birthday lifestyle lifestyle,Pop Style,rap
