,Song_Name,Artist,Genre,Lyrics,SongID
0,No Tears Left to Cry,Ariana Grande,Pop,right state mind wanna like time got tears left cry pickin pickin lovin livin pickin pickin pickin lovin livin pickin oh yeah pickin yeah pickin yeah lovin livin turnin yeah turnin got tears body ran boy like like like matter tries vibin vibin vibin comin even rainin stop stop shut mouth shut mouth know know babe know babe yeah right state mind wanna like time got tears left cry pickin pickin oh yeah lovin livin pickin oh want come another mentality got tears left cry cry pickin pickin oh yeah lovin livin pickin pickin yeah pickin yeah lovin livin turnin turnin yeah turnin point colors see em boy like em like em like em way fly partake hate vibin vibin vibin comin even rainin stop stop shut mouth shut mouth know know babe know babe yeah right state mind wanna like time got tears left cry pickin pickin oh yeah lovin livin pickin oh want come another mentality got tears left cry cry pickin pickin oh yeah lovin livin pickin comin even rainin stop hmm oh shut mouth got tears left cry oh yeah oh yeah oh want come another mentality got tears left cry cry pickin pickin oh yeah lovin livin pickin pickin pickin lovin livin turnin yeah turnin,1
1,FRIENDS,Marshmello & Anne-Marie,Pop,ooooh oh ooooh woh ooooh oh ooooh woh say love say crazy nothing friends lover like brother known since like ten yeah mess talking shit gonna push away say love make crazy go go look look eye really going away without fight reasoned done polite told one two three four five six thousand times made obvious made clear want spell f r e n made obvious made clear want spell f r e n f r e n got shame looking insane turning door two morning rain pouring mess talking shit gonna push away got shame looking insane go go look look eye really going away without fight reasoned done polite told one two three four five six thousand times made obvious made made clear made clear want spell f r e n made obvious made clear want spell spell f r e n f r e n f r e n f spell friends f r e n get shit inside head yeah uh ahh f r e n friends go look look eye really going nowhere without fight reasoned done polite told one two three four five six thousand times made obvious made obvious made clear yeah made clear want spell yo f r e n said f r e n made obvious made obvious made clear made clear want spell f r e n f r e n mmm ooh ooh ooh ah ah oh ah oh,2
2,A Million Dreams,Ziv Zaifman,Pop,close eyes see world waiting call dark door one feels like home say say sounds crazy say say lost mind care care call crazy live world design cause every night lie bed brightest colors fill head million dreams keeping awake think world could vision one see million dreams gonna take million dreams world gonna make house build every room inside filled things far away special things compile one make smile rainy day say say sounds crazy say say lost minds care care call us crazy runaway world design every night lie bed brightest colors fill head million dreams keeping awake think world could vision one see million dreams gonna take million dreams world gonna make however big however small let part share dreams may right may wrong say bring along world see world close eyes see close eyes see every night lie bed brightest colors fill head million dreams keeping awake million dreams million dreams think world could vision one see million dreams gonna take million dreams world gonna make world gonna make,3
3,The Middle,Zedd,Pop,take seat right sat stairs stay leave cabinets bare unaware got mess got aggressive know meant good intentions pull closer pull close come let go oh baby meet middle losing mind little meet middle middle baby meet middle losing mind little meet middle middle ohh take step back minute kitchen floors wet taps still running dishes broken get mess got aggressive know meant good intentions pull closer pull close come let go oh baby meet middle losing mind little meet middle middle looking lie pouring admission regardless objection pride need skin come pull oh baby meet middle losing mind little meet middle middle baby meet middle oh yeah losing mind little meet middle oh middle baby meet middle baby losing mind little meet middle middle middle middle,4
4,Rewrite the Stars,Zac Efron,Pop,know want secret try hide know want keep saying hands tied claim cards fate pulling miles away reach heart stop decide destiny rewrite stars say made mine nothing could keep us apart one meant find one say get rewrite stars maybe world could tonight think easy think want run mountains doors walk know wondering able within walls go outside gonna wake see hopeless one rewrite stars say mine everything keeps us apart one meant find everyone tells us rewrite stars say world tonight want fly want fall give feels impossible impossible impossible say possible rewrite stars say made mine nothing keep us apart cause one meant find one say get rewrite stars changing world know want secret try hide bound break hands tied,5
5,​lovely,Billie Eilish & Khalid,Pop,thought found way thought found way found never go away never go away guess gotta stay oh hope day make even takes night hundred years need place hide find one near wanna feel alive outside fight fear lovely alone heart made glass mind stone tear pieces skin bone hello welcome home walking time looking better place looking better place something mind always head space know someday make even takes night hundred years need place hide find one near wanna feel alive outside fight fear lovely alone heart made glass mind stone tear pieces skin bone hello welcome home woah yeah yeah ah woah woah hello welcome home,6
6,Be Careful,Cardi B,Pop,yeah care care care uh yeah look wanna get married like currys steph ayesha shit like belly—tommy keisha shit gave tlc wanna creep shit poured whole heart piece shit man thought would learned lesson bout likin pictures returnin texts guess fine man get message still stutter certain questions keep contact certain exes though trust nigga cool though said workin chasin culo putas chillin poolside livin two lives could times decide slide find nigga fuck suck dick would pissed type bitch karma gon end make sick nigga man baby adore gave everything mine want live life course hope get dyin careful know doin whose feelings hurtin bruisin gon gain whole world worth girl losin careful yeah threat warnin careful yeah heart like package fragile label careful care care always said boy better treat carefully carefully look guess actin got audience tell mind drop pin coordinates might fortune lose still gon misfortunate nigga tell love got fucked head want random bitch bed even know middle name watch cause might steal chain want someone loves instead guess though blatant disrespect nothin like nigga met talk crazy quick forget even got trippin got lookin mirror different thinkin flawed inconsistent rock hard place mud dirt gon hurt hate lovin worse stops abrupt started switchin teach like give fuck free mess someone else wish feelings could melt cause care thing except mothafuckin self make sick nigga man baby adore gave everything mine want live life course hope get dyin careful know doin whose feelings hurtin bruisin gon gain whole world worth girl losin careful yeah threat warnin careful yeah heart like package fragile label careful,7
7,Te Boté (Remix),"Nio García, Casper Mágico & Bad Bunny",Pop,lyrics,8
8,One Kiss,Calvin Harris & Dua Lipa,Pop,one kiss takes fallin love possibilities look like need let take night love real easy know still wanna see sunday morning music real loud let love moon still something lit heaven feeling let sleep cause lost way move way feel one kiss takes fallin love possibilities look like need one kiss takes fallin love possibilities look like need one one one one wanna feel skin mine feel eyes exploring passion message smile take time something lit heaven feeling let sleep cause lost way move way feel one kiss takes fallin love possibilities look like need one kiss takes fallin love possibilities look like need one one one one see wonderland eyes might need company tonight something lit heaven feeling let sleep cause lost way move way feel one kiss takes fallin love possibilities look like need one kiss takes fallin love possibilities look like need one one one one,9
9,SAD!,XXXTENTACION,Pop,yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah gave everything took heart left lonely think broken heart contagious fix rather weep lost found torture bein love love around fuckin hate leave someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah,10
10,OTW,"Khalid, 6LACK & Ty Dolla $ign",Pop,na na na na ooh oh oh ayy put drive outside way way meet five night day day put drive outside way way meet five night day day yeah yeah yeah type shit waiting year back town minute yeah got lot time need somewhere spend press button top go missing kept slip know rented yeah oh oh wanna worried bout friends saw afternoon reading mind fair gotta let know ears got lot room whip wanna take way put drive outside way way meet five night day day put drive outside way way meet five night day day dolla ign dolla ign drop top porsche put bitch sport field oh yeah yeah already yeah come outside looking like snack hurry get hell yeah yeah come mission ooh yeah ooh yeah riding coast ooh yeah want sure ooh yeah say play khalid ooh yeah say pass weed ooh yeah pull crib oh said never put provocateur girl made mi amor said left ex dude always gassy said never happy took l winning ever since ever since hit phone way cancel plans yeah yeah put drive outside way way meet five night day day put drive outside way way meet five night day day tryna make move tonight got time tell wanna call squad wanna rendezvous gon push got room two jects set porsche vette confess flex ayy show respect get away make sense life park put shit drive coast like tomorrow moving fast hoping drive slow yeah want wonder go learn lot something know put drive outside way way meet five night day day put drive outside way way meet five night day day,11
11,Hasta Luego,HRVY & Malu Trevejo,Pop,got juliet eyes romeo tonight star crossed love first sight like movie danced like never gonna die blowin floor like dynamite dont wanna tell good bye one night ohh got oh got eye yie yie yie yie yie yie ohh told ohh told eye yie yie yie yie yie yie hasta luego way go know name though oh hasta luego way go know name though oh said bailamos said bailamos said bailamos dance hasta luego way go know name though oh pasa nada esta bien haria lo que sea para verte al tenerte mis pies esto se pone caliente bailando quiero probar pero mi corazón sabe esperar tengo para enamorar yo tengo lo que tu quieres ohh got ohh got eye yie yie yie yie yie yie ohh told ohh told eye yie yie yie yie yie yie hasta luego way go know name though oh hasta luego way go know name though oh said bailamos said bailamos said bailamos dance hasta luego way go know name though oh like ohh ohh ay ay ay tienes ohh ohh ay ay ay like ohh ohh ay ay ay tienes ohh ohh ay ay ay hasta luego way go know name though oh hasta luego way go know name though oh said bailamos said bailamos said bailamos dance hasta luego way go know name though oh,12
12,Take a Byte,Janelle Monáe,Pop,kind girl take home mama tell lies tell lies code programmed love pretend oh surprise maybe lust maybe love maybe never ends ooh say goodbyes say em play hair nibble mocha skin yeah take byte take byte take byte help help alright alright tell feels good nibble take byte take byte help look good help think twice think twice tell random access memory wants come say goodbye say goodbye saw therapist thinks magic sin oh maybe right maybe right well lick angel purify ooh angels fun fun dress like better pretend yeah make love til numb take byte take byte help go ahead help alright alright tell take byte take byte take byte help look good help think twice think twice tell take byte take byte help help alright alright tell take byte oh take byte help go help alright tell take byte look good help alright take little byte take little byte take little byte,13
13,"Crazy, Classic, Life",Janelle Monáe,Pop,told us hold truths self evident men created equal endowed creator certain unalienable rights among life liberty pursuit happiness young black wild free naked limousine oh oh oh oh oh oh oh oh riding hood real slow love smell trees oh oh oh oh oh oh oh oh wanna party hard sex swimming pool oh oh oh oh oh oh oh oh need lot cash wanna break rules oh oh oh oh oh oh oh oh need another ruler friends kings oh oh oh oh oh oh oh oh american nightmare american dream oh oh oh oh oh oh oh oh let live life want crazy classic life want crazy classic life world end tonight crazy classic life need diamond ring wanna waste youth wanna live knees tell truth baby wanna left wanna cheat wanna find guy hope loves need another ruler need another fool oh oh oh oh oh oh oh oh american nightmare american cool oh oh oh oh oh oh oh oh let live life want crazy classic life want crazy classic life world end tonight crazy classic life want crazy classic life want crazy classic life world end tonight crazy classic life crazy classic life handcuffed bando white boy sandals police like rambo blow blow like candle sambo friends opposite mistake jail top shit living life walking around moppin shit tech kid backpack college kid wanted break rules like wanted someone love matter always stood black waldo dancing thick brows running naked luau shrooms praying face waist remember told black ya black poppin like bra strap ya kicked said loud kicked said proud really ever felt stressed kinda like afro pressed,14
14,Ring,Cardi B,Pop,ooh ooh ring ring ring ring hit line oh oh make ring ring ring ring keep low want make ring ring ring ring call first decide want bitch got pride switchin shit fuck feelin hard get touch hit actin like know number dial quit throw towel cause nigga gon allow want gun smoke learn text nose thumb broke care gettin stall ass still wake missed calls ass nigga hit line oh oh make ring ring ring ring keep low want make ring ring ring ring nah nigga gon call call cause lookin messages yeah actin like niggas want let another nigga spot gon hot nigga coffee gon sick stomach hit free 1 800 emergency call 911 cause right tryna find someone ring phone ring finger brrr actin like tryna either yeah good girl watch turn diva goes heart put speaker oh hit line oh oh make ring ring ring ring keep low want make ring ring ring ring used line tick time yeah love make feel like mind got time know go head bed love know wanna spend time instead caught yeah caught done left alone yeah fed ready next step wanna said miss miss us baby know hit line oh oh make ring ring ring ring make ring baby keep low yeah yeah oh want make ring ring ring ring,15
15,Youngblood,5 Seconds of Summer,Pop,remember words told love til day die surrender everything cause made believe mine yeah used call baby calling name takes one know one yeah beat damn game pushing pushing pulling away pulling away give give give take give take young blood say want say want life dead man walking tonight need yeah need time yeah ooh ooh ooh young blood say want say want back life dead man crawling tonight cause need yeah need time yeah ooh ooh ooh lately conversations end like last goodbye yeah one us gets drunk calls hundred times calling baby nobody could take place looking strangers hope god see face young blood say want say want life dead man walking tonight need yeah need time yeah ooh ooh ooh young blood say want say want back life dead man crawling tonight cause need yeah need time yeah ooh ooh ooh pushing pushing pulling away pulling away give give give take give take running around running away running away young blood say want say want life dead man walking tonight need yeah need time yeah ooh ooh ooh young blood say want say want back life dead man crawling tonight cause need yeah need time yeah ooh ooh ooh pushing pushing pulling away pulling away give give give take give take young blood say want say want life dead man walking tonight,16
16,Barbie Tingz,Nicki Minaj,Pop,dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem uh prime optimus sagittarius know optimist man keep real prophetess okay least took l bucket list bucket list time make hits time diss still dissin still find hits okay worth dummy mind bit still show gettin chips time dip okay still fly bagged white guy okay ritchie like guy still eat thai want nicki cheat code come bitch nice try let real bitches wanna look like wanna demand get booked like wanna run lab cook like nan hoes pussy good like pussy good ex wanna still fight face pretty bitches wish could slice mad cause never bought ice like cut niggas would still wife still wife rap bitches tell team make em like barbie come ig stalk copy looks steal music want see bitches lose blue print mean pinkprint ho let sink spoke jay day still kingpin still nigga woulda signed sign wayne perfectly designed crew cause big 3 need big speech made biggest impact check spreadsheet lil weezy barbie drizzy drake niggas gettin cheese kissy face bad bitch fuck bitch uh bitch get slick cut bitch bad bitch suck dick okay bitch get slick cut bitch cut bitch gut bitch okay fuck bitch man fuck bitch shoot gun butt bitch say fuck bitch dick bitch stuck niggas stuck bitch still draggin pick bitch get combination safe drug bitch know whole operation bugged bitch okay still fly bagged white guy okay ritchie like guy still eat thai want nicki cheat code come bitch nice try let real bitches wanna look like wanna demand get booked like wanna run lab cook like nan hoes pussy good like pussy good ex wanna still fight face pretty bitches wish could slice mad cause never bought ice like cut niggas would still wife still wife would still wife would still wife yup would still wife ahh ha come stealin flows birds fluent stutter get asked bout queen influence clear bite flattered like wanna check bitches tell em wear nikes barbie tings barbie tings big barbie tings barbie tings big barbie tings barbie tings uh barbie dreamhouse barbie rings barbie beach house barbie benz barbie white picket barbie fence tea shade bitch offense ever try confiscate barbie ken put box dollies chop next stop garbage bin cause hoes old gossipin tryna find new porsche come,17
17,Thru Your Phone,Cardi B,Pop,look want break shit call mama phone let know raised bitch dial tone click fuck little fake ass friends come around actin like bros seen little group texts like brag hoes tell little bitch screenshotted naked pics oh wanna send nudes man wake see boobs gram lil bitch cannot stand right hand jesus might cut tongues sneakers smash tv best buy gon turn left eye wanna hear bout invasion privacy feeling turns lie holdin back everything inside fuckin bitches follow heart beating like bleeding sleepin sleepin sleepin sleeping like baby everyone right creepin creepin creepin went phone last night went phone last night saw things like went phone last night killin killin killin oh see different scenarios beyoncé stereo resentment repeat make bowl cereal teaspoon bleach serve like go nigga bon appétit look give raw love nah risk whole home hoe bar really want hoes bitches even cheat badder bitches shit eatin sleepin peacefully gettin mad thinkin bout stabbin even know close dyin gon wake like got attitude heart beating like bleeding sleepin sleepin sleepin sleeping like baby everyone right creepin creepin creepin went phone last night went phone last night saw things like went phone last night killin killin killin oh killin killin killin killin oh killin killin killin killin oh killin killin killin killin oh killin went phone last night went phone last night saw things like went phone last night killin killin killin oh,18
18,Somebody,The Chainsmokers,Pop,town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody known better listen heart people change weather know know like really like anybody tell like anybody else put back together let fall apart people change weather town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody somebody somebody know know like somebody head knew better head knew better blame faults know forget know know like really like anybody tell like anybody else town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody somebody somebody somebody somebody somebody know know like somebody somebody somebody somebody know know like cause really like anybody tell like anybody cause really like anybody tell like anybody town full fancy cars crowded bars supermodels looks exactly way inside head dreamed things could live without need em cause around thing afford lose tryna somebody somebody somebody somebody somebody somebody know know like somebody somebody somebody somebody know know like stop tryna somebody stop tryna somebody,19
