,Song_Name,Artist,Genre,Lyrics
0,Lovesick Blues,Hank Williams,country,"[Chorus]
I got a feeling called the blues oh lord
Since my baby said goodbye
Lord I don't know what I'll do
All I do is sit and sigh, ""Oh Lord""
The last long day she said goodbye
Well Lord I thought I would cry
She'll do me, she'll do you, she's got that kind of loving
Lord I love to hear her when she calls me sweet daddy
Such a beautiful dream
I hate to think it's all over; I've lost my heart it seems
I've grown so used to you somehow
But I'm nobody's sugar daddy now
And I'm lonesome, I got the lovesick blues

[Verse]
Well I'm in love, I'm in love with a beautiful gal
That's what's the matter with me
Well I'm in love, I'm in love with a beautiful gal
But she don't care about me
Lord I tried and tried to keep her satisfied
But she just wouldn't stay
And now that she is leaving this is all I can say

[Chorus]
I got a feeling called the blues oh lord
Since my baby said goodbye
Lord I don't know what I'll do
All I do is sit and sigh, ""Oh Lord""
The last long day she said goodbye
Well Lord I thought I would cry
She'll do me, she'll do you, she's got that kind of loving
Lord I love to hear her when she calls me sweet daddy
Such a beautiful dream
I hate to think it's all over; I lost my heart it seems
I've grown so used to you somehow
But I'm nobody's sugar daddy now
And I'm lonesome, I got the lovesick blues"
1,Chootay Maatay Mp3 Song Download Djpunjab,Guri,country,"Visit this Chootay Maatay Guri Mp3 Song Download link

Chootay Maatay Song
Chootay Maatay Mp3
Chotay Maatay Mp3 Song

Chootay Maatay New Song
Chootay Maatay Song Download
Chootay Matay Audio Song
Chootay Maatay Punjabi Song

Chootay Maatay Song Djpunjab
Chutay Matay Mp3 Download
Chutay Maatay Song Download Pagalworld
Chotay Matay Mp3 Song Download Mr Jatt

Chotay Matay Full Song
Chootay Maatay New Punjabi Song
Chotay Matay Mp3 320kbps

Chootay Maatay Guri Mp3 Djpunjab
Chootay Maatay By Guri

Chootay Maatay Guri Song Download
Chootay Maatay Song Of Guri
Chutay Matay Ft Guri
Chootay Maatay Song By Guri

Guri Chootay Maatay Mp3 Free Download Wapking
Chootay Maatay Guri Song.pk
Guri Song Chootay Maatay Download
Chootay Maatay Full Mp3 Song

Punjabi Song Chootay Maatay Download
Guri New Song Chootay Maatay
Chootay Maatay Latest Song Download"
2,Babe,Sugarland,country,"[Verse 1: Sugarland]
What a shame
Didn't wanna be the one that got away, yeah
Big mistake, broke the sweetest promise
That you never should have made
I'm here on the kitchen floor
You call, but I won't hear it
You said no one else, how could you do this, babe?

[Chorus: Sugarland & Taylor Swift]
You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe
This is the last time, this is the last time
This is the last time, I'll ever call you babe

[Verse 2: Sugarland]
What a waste
Taking down the pictures and the plans we made, yeah
And it's strange how your face doesn't look so innocent
Your secret has its consequence and that's on you, babe
I break down every time you call
We're a wreck, you're the wrecking ball
We said no one else, how could you do this, babe?

[Chorus: Sugarland & Taylor Swift]
You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe
This is the last time, this is the last time
This is the last time

[Bridge: Sugarland]
Since you admitted it, I keep picturing
Her lips on your neck, I can't unsee it
I hate that because of you, I can't love you
Babe
What a shame, didn't want to be the one that got away
How could you do this, babe?

[Chorus: Sugarland & Taylor Swift]
You really blew this, babe
We ain't getting through this one, babe
How could you do this, babe
This is the last time, this is the last time
This is the last time, I'll ever call you babe

[Outro: Sugarland & Taylor Swift]
How could you do this, babe?
I'm here on the kitchen floor, you call but I won't hear it
You said I'm no one else, we ain't getting through this one, babe
I break down every time you call, this is the last time
We're a wreck, you're the wrecking ball
This is the last time, this is the last time
You said I'm no one else, this is the last time
I'll never call you, babe"
3,You Are My Sunshine,Johnny Cash,country,"The other night dear, as I lay sleeping
I dreamed I held you in my arms
But when I awoke, dear, I was mistaken
So I bowed my head and I cried

You are my sunshine, my only sunshine
You make me happy when skies are gray
You'll never know dear, how much I love you
Please don't take my sunshine away

I'll always love you and make you happy
If you will only say the same
But if you leave me and love another
You'll regret it all some day:

You are my sunshine, my only sunshine
You make me happy when skies are gray
You'll never know dear, how much I love you
Please don't take my sunshine away

You told me once, dear, you really loved me
And no one else could come between
But now you've left me and love another;
You have shattered all of my dreams:

You are my sunshine, my only sunshine
You make me happy when skies are gray
You'll never know dear, how much I love you
Please don't take my sunshine away

In all my dreams, dear, you seem to leave me
When I awake my poor heart pains
So when you come back and make me happy
I'll forgive you dear, I'll take all the blame

You are my sunshine, my only sunshine
You make me happy when skies are gray
You'll never know dear, how much I love you
Please don't take my sunshine away"
4,Say Something,Justin Timberlake,country,"[Intro: Justin Timberlake]
Mhmm, yeah, alright
Ooh

[Verse 1: Justin Timberlake]
Everyone knows all about my direction
And in my heart somewhere I wanna go there
Still, I don't go there

[Chorus: Justin Timberlake & Chris Stapleton]
Everybody says, ""say something that says something”
“Say something that says something”
“Say something that says something”
I don't wanna get caught, up in the rhythm of it
But I can't help myself, no, I can't help myself, no, no
Caught up in the middle of it
No, I can't help myself, no I can't help myself, no, no, no
Caught up in the rhythm of it

[Post-Chorus: Justin Timberlake & Chris Stapleton]
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)
Maybe I'm looking for something I can't have

[Verse 2: Chris Stapleton & Justin Timberlake]
Everyone knows all about my transgressions
Still in my heart somewhere, there's melody and harmony
For you and me, tonight (whoa)
I hear them call my name

[Chorus: Chris Stapleton & Justin Timberlake]
Everybody says, ""Say something""
Then, ""Say something, say something""
Then, ""Say something, say something""
Then, ""Say something""
I don't want to get caught up in the rhythm of it
But I can't get help myself, no I can't help myself, no, no
Caught up in the middle of it
No, I can't help myself, no I can't help myself, no, no, no
Caught up in the rhythm of it

[Post-Chorus: Justin Timberlake & Chris Stapleton]
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)

[Bridge: Justin Timberlake & Chris Stapleton]
Sometimes, the greatest way to say something is to say nothing at all
Sometimes, the greatest way to say something is to say nothing at all
Sometimes, the greatest way to say something is to say nothing

[Part-Chorus: Justin Timberlake & Chris Stapleton]
But I can't help myself, no I can't help myself, no, no
Caught up in the middle of it
No, I can't help myself, no I can't help myself, no, no, no
Caught up in the rhythm of it

[Post-Chorus: Justin Timberlake & Chris Stapleton]
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)
Maybe I'm looking for something I can't have (Maybe I'm looking for something I can't have)

[Outro: Justin Timberlake & Chris Stapleton]
Sometimes the greatest way to say something is to say nothing at all
Sometimes the greatest way to say something is to say nothing at all
Sometimes the greatest way to say something is to say nothing"
5,Cry Pretty,Carrie Underwood,country,"[Verse 1]
I'm sorry, but I'm just a girl
Not usually the kind to show my heart to the world
I'm pretty good at keeping it together
I hold my composure, for worse or for better
So I apologize if you don't like what you see
But sometimes my emotions get the best of me
And falling apart is as human as it gets
You can't hide it, you can't fight what the truth is

[Chorus 1]
You can pretty lie and say it's okay
You can pretty smile and just walk away
Pretty much fake your way through anything
But you can't cry pretty

[Verse 2]
Oh no, you can’t dress it up in lace or rhinestones
It don't matter if you're in a crowd or home all alone
Yeah, it's all the same when you're looking in the mirror
A picture of pain, so let it flow like a river

[Chorus 1]
You can pretty lie and say it's okay
You can pretty smile and just walk away
Pretty much fake your way through anything
But you can't cry pretty

[Chorus 2]
You can't turn off the flood when the dam breaks
When all your mascara is going to waste
When things get ugly, you just gotta face
That you can't cry pretty

[Bridge]
Oh no, you can't
Ooh, yeah

[Chorus 2]
You can't turn off the flood when the dam breaks
When all your mascara is going to waste
When things get ugly, you just gotta face
That you can't cry pretty

[Outro]
Yeah, yeah, yeah, yeah
No, you can't cry
No, you can't cry
Yeah, yeah, yeah, yeah, yeah
No, no, no, no, no, no, no, no, woo
You can't cry
You can't cry pretty, baby
Oh yeah, woo, woo
No, you can't cry pretty, yeah"
6,Can't Help Falling In Love,Elvis Presley,country,"[Verse 1]
Wise men say
Only fools rush in
But I can't help falling in love with you
Shall I stay?
Would it be a sin?
If I can't help falling in love with you

[Chorus]
Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

[Verse 2]
Take my hand
Take my whole life too
For I can't help falling in love with you

[Chorus]
Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

[Verse 3]
Take my hand
Take my whole life, too
For I can't help falling in love with you
For I can't help falling in love with you"
7,Meant to Be,Bebe Rexha,country,"[Verse 1: Florida Georgia Line]
Baby, lay on back and relax
Kick your pretty feet up on my dash
No need to go​ nowhere fast
Let's enjoy right here where we at

[Pre-Chorus: Florida Georgia Line]
Who knows where this road is supposed to lead?
We got nothing, but time
As long as you're right here next to me, everything's gonna be alright

[Chorus: Florida Georgia Line]
If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See, where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

[Verse 2: Bebe Rexha]
I don't mean to be so uptight
But my heart's been hurt a couple times
By a couple guys that didn't treat me right
I ain't gon' lie, ain't gon' lie
'Cause I'm tired of the fake love
Show me, what you're made of
Boy, make me believe

[Pre-Chorus: Florida Georgia Line]
Oh hold up, girl, don't you know you're beautiful?
And it's easy to see

[Chorus: Bebe Rexha & Florida Georgia Line]
If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See, where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

[Post-Chorus: Bebe Rexha & Florida Georgia Line]
So c'mon, ride with me, ride with me
See, where this thing goes
So c'mon, ride with me, ride with me
See, where this thing goes
Baby, if it's meant to be

[Bridge: Bebe Rexha & Florida Georgia Line]
Maybe we do
Maybe we don't
Maybe we will
Maybe we won't

[Chorus: Bebe Rexha & Florida Georgia Line]
But if it's meant to be, it'll be, it'll be
Baby, just let it be (take it, baby)
If it's meant to be, it'll be, it'll be (c'mon)
Baby, just let it be (let's go)
So won't you ride with me, ride with me?
See, where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

[Outro: Bebe Rexha & Florida Georgia Line]
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be"
8,Jolene,Dolly Parton,country,"[Guitar Introduction]

[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm begging of you please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can

[Verse 1]
Your beauty is beyond compare
With flaming locks of auburn hair
With ivory skin and eyes of emerald green
Your smile is like a breath of spring
Your voice is soft like summer rain
And I cannot compete with you, Jolene

[Verse 2]
He talks about you in his sleep
There's nothing I can do to keep
From crying when he calls your name, Jolene
And I can easily understand
How you could easily take my man
But you don't know what he means to me, Jolene

[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm begging of you please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can

[Verse 3]
You could have your choice of men
But I could never love again
He's the only one for me, Jolene
I had to have this talk with you
My happiness depends on you
And whatever you decide to do, Jolene

[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm begging of you please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him even though you can
Jolene, Jolene"
9,Stay,Post Malone,country,"[Verse 1]
It's true that all that you know is all that you are
You said that it's all that you want and more
Fuck off and pour another drink
And tell me what you think
You know that I'm too drunk to talk right now
You put your cigarette out on my face
So beautiful, please, woman

[Refrain]
Don't break your back for me
I'll put you out of your misery

[Chorus]
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to...

[Verse 2]
Stay a little longer if you convince me
And tell me all the things that you have against me
Every time we make up, the truth is faded
Everybody's blind when the view's amazin'
Damn, who are we right now?
Can we have a little conversation?
Figure it out with no intoxication
We carry on, what is our motivation?
We're never wrong, how the hell we gonna make it?
Maybe we're used to this
Tell me, what are we to do?
It's like we only play to lose
Chasin' pain with an excuse
I love that shit and so do you

[Refrain]
But don't break your back for me
I'll put you out of your misery

[Chorus]
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay

[Guitar Solo]
Mr. Andrew Watt, ladies and gentlemen

[Chorus]
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay"
